sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 32, tps: 3475.50, reads/s: 48948.98, writes/s: 0.00, response time: 12.10ms (95%)
[   2s] threads: 32, tps: 4015.04, reads/s: 56170.56, writes/s: 0.00, response time: 9.94ms (95%)
[   3s] threads: 32, tps: 4167.91, reads/s: 58306.71, writes/s: 0.00, response time: 9.63ms (95%)
[   4s] threads: 32, tps: 4265.07, reads/s: 59774.03, writes/s: 0.00, response time: 9.21ms (95%)
[   5s] threads: 32, tps: 4345.01, reads/s: 60797.14, writes/s: 0.00, response time: 9.17ms (95%)
[   6s] threads: 32, tps: 4382.99, reads/s: 61408.85, writes/s: 0.00, response time: 9.24ms (95%)
[   7s] threads: 32, tps: 4432.06, reads/s: 62008.83, writes/s: 0.00, response time: 9.13ms (95%)
[   8s] threads: 32, tps: 4471.94, reads/s: 62647.18, writes/s: 0.00, response time: 9.07ms (95%)
[   9s] threads: 32, tps: 4512.02, reads/s: 63202.23, writes/s: 0.00, response time: 8.88ms (95%)
[  10s] threads: 32, tps: 4555.98, reads/s: 63689.67, writes/s: 0.00, response time: 8.82ms (95%)
[  11s] threads: 32, tps: 4562.01, reads/s: 63901.09, writes/s: 0.00, response time: 8.82ms (95%)
[  12s] threads: 32, tps: 4618.01, reads/s: 64624.14, writes/s: 0.00, response time: 8.75ms (95%)
[  13s] threads: 32, tps: 4626.09, reads/s: 64790.25, writes/s: 0.00, response time: 8.69ms (95%)
[  14s] threads: 32, tps: 4653.92, reads/s: 65235.94, writes/s: 0.00, response time: 8.58ms (95%)
[  15s] threads: 32, tps: 4668.99, reads/s: 65260.81, writes/s: 0.00, response time: 8.64ms (95%)
[  16s] threads: 32, tps: 4673.08, reads/s: 65467.15, writes/s: 0.00, response time: 8.63ms (95%)
[  17s] threads: 32, tps: 4696.86, reads/s: 65758.11, writes/s: 0.00, response time: 8.67ms (95%)
[  18s] threads: 32, tps: 4740.06, reads/s: 66321.82, writes/s: 0.00, response time: 8.51ms (95%)
[  19s] threads: 32, tps: 4762.90, reads/s: 66684.53, writes/s: 0.00, response time: 8.47ms (95%)
[  20s] threads: 32, tps: 4799.10, reads/s: 67140.33, writes/s: 0.00, response time: 8.39ms (95%)
[  21s] threads: 32, tps: 4772.96, reads/s: 66859.46, writes/s: 0.00, response time: 8.49ms (95%)
[  22s] threads: 32, tps: 4760.03, reads/s: 66693.47, writes/s: 0.00, response time: 8.53ms (95%)
[  23s] threads: 32, tps: 4816.01, reads/s: 67417.19, writes/s: 0.00, response time: 8.49ms (95%)
[  24s] threads: 32, tps: 4844.00, reads/s: 67821.93, writes/s: 0.00, response time: 8.36ms (95%)
