sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 256
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 256, tps: 5371.44, reads/s: 76343.02, writes/s: 0.00, response time: 48.20ms (95%)
[   2s] threads: 256, tps: 6346.10, reads/s: 89669.47, writes/s: 0.00, response time: 61.67ms (95%)
[   3s] threads: 256, tps: 6763.64, reads/s: 94807.97, writes/s: 0.00, response time: 66.74ms (95%)
[   4s] threads: 256, tps: 6896.36, reads/s: 96649.08, writes/s: 0.00, response time: 67.89ms (95%)
[   5s] threads: 256, tps: 9017.40, reads/s: 126325.62, writes/s: 0.00, response time: 58.28ms (95%)
[   6s] threads: 256, tps: 9437.63, reads/s: 131968.78, writes/s: 0.00, response time: 54.16ms (95%)
[   7s] threads: 256, tps: 9607.84, reads/s: 134466.76, writes/s: 0.00, response time: 46.77ms (95%)
[   8s] threads: 256, tps: 9615.15, reads/s: 134724.08, writes/s: 0.00, response time: 49.17ms (95%)
[   9s] threads: 256, tps: 9675.79, reads/s: 135528.00, writes/s: 0.00, response time: 46.85ms (95%)
[  10s] threads: 256, tps: 9702.13, reads/s: 135532.83, writes/s: 0.00, response time: 47.54ms (95%)
[  11s] threads: 256, tps: 9732.47, reads/s: 136119.56, writes/s: 0.00, response time: 46.74ms (95%)
[  12s] threads: 256, tps: 9704.45, reads/s: 136059.32, writes/s: 0.00, response time: 45.73ms (95%)
[  13s] threads: 256, tps: 9749.18, reads/s: 136551.58, writes/s: 0.00, response time: 42.97ms (95%)
[  14s] threads: 256, tps: 9782.95, reads/s: 136973.26, writes/s: 0.00, response time: 46.52ms (95%)
[  15s] threads: 256, tps: 9518.15, reads/s: 133517.13, writes/s: 0.00, response time: 68.75ms (95%)
[  16s] threads: 256, tps: 9362.92, reads/s: 130948.86, writes/s: 0.00, response time: 77.84ms (95%)
[  17s] threads: 256, tps: 9333.00, reads/s: 130758.95, writes/s: 0.00, response time: 81.59ms (95%)
[  18s] threads: 256, tps: 9387.81, reads/s: 131398.40, writes/s: 0.00, response time: 82.10ms (95%)
[  19s] threads: 256, tps: 9491.18, reads/s: 132914.47, writes/s: 0.00, response time: 72.25ms (95%)
[  20s] threads: 256, tps: 9387.00, reads/s: 131332.94, writes/s: 0.00, response time: 81.68ms (95%)
[  21s] threads: 256, tps: 9436.00, reads/s: 132020.05, writes/s: 0.00, response time: 80.69ms (95%)
[  22s] threads: 256, tps: 9467.02, reads/s: 132659.33, writes/s: 0.00, response time: 81.44ms (95%)
[  23s] threads: 256, tps: 9645.98, reads/s: 134884.77, writes/s: 0.00, response time: 72.12ms (95%)
[  24s] threads: 256, tps: 9651.02, reads/s: 135209.21, writes/s: 0.00, response time: 70.67ms (95%)
[  25s] threads: 256, tps: 7338.97, reads/s: 102609.64, writes/s: 0.00, response time: 64.27ms (95%)
[  26s] threads: 256, tps: 6739.99, reads/s: 94287.90, writes/s: 0.00, response time: 61.87ms (95%)
[  27s] threads: 256, tps: 6771.02, reads/s: 94791.29, writes/s: 0.00, response time: 60.94ms (95%)
[  28s] threads: 256, tps: 6760.86, reads/s: 94730.02, writes/s: 0.00, response time: 61.37ms (95%)
[  29s] threads: 256, tps: 6796.12, reads/s: 95041.64, writes/s: 0.00, response time: 61.25ms (95%)
[  30s] threads: 256, tps: 6758.04, reads/s: 94813.56, writes/s: 0.00, response time: 61.37ms (95%)
[  31s] threads: 256, tps: 6827.99, reads/s: 95393.80, writes/s: 0.00, response time: 61.03ms (95%)
[  32s] threads: 256, tps: 6926.00, reads/s: 97080.03, writes/s: 0.00, response time: 60.72ms (95%)
[  33s] threads: 256, tps: 7061.97, reads/s: 98805.56, writes/s: 0.00, response time: 59.05ms (95%)
[  34s] threads: 256, tps: 7113.00, reads/s: 99500.00, writes/s: 0.00, response time: 59.10ms (95%)
[  35s] threads: 256, tps: 8704.02, reads/s: 121883.31, writes/s: 0.00, response time: 60.01ms (95%)
[  36s] threads: 256, tps: 9066.01, reads/s: 126820.14, writes/s: 0.00, response time: 48.23ms (95%)
[  37s] threads: 256, tps: 9088.85, reads/s: 127551.93, writes/s: 0.00, response time: 50.93ms (95%)
[  38s] threads: 256, tps: 9090.16, reads/s: 127110.19, writes/s: 0.00, response time: 49.19ms (95%)
[  39s] threads: 256, tps: 9200.00, reads/s: 128743.99, writes/s: 0.00, response time: 47.52ms (95%)
[  40s] threads: 256, tps: 9173.99, reads/s: 128359.86, writes/s: 0.00, response time: 49.06ms (95%)
[  41s] threads: 256, tps: 9277.98, reads/s: 129995.69, writes/s: 0.00, response time: 48.02ms (95%)
[  42s] threads: 256, tps: 9247.84, reads/s: 129469.74, writes/s: 0.00, response time: 47.25ms (95%)
[  43s] threads: 256, tps: 9301.94, reads/s: 130241.13, writes/s: 0.00, response time: 49.94ms (95%)
[  44s] threads: 256, tps: 9346.22, reads/s: 130778.07, writes/s: 0.00, response time: 50.15ms (95%)
[  45s] threads: 256, tps: 9862.97, reads/s: 138548.58, writes/s: 0.00, response time: 50.00ms (95%)
[  46s] threads: 256, tps: 9985.98, reads/s: 139802.76, writes/s: 0.00, response time: 48.49ms (95%)
[  47s] threads: 256, tps: 9995.89, reads/s: 139832.51, writes/s: 0.00, response time: 49.27ms (95%)
[  48s] threads: 256, tps: 9992.93, reads/s: 139903.01, writes/s: 0.00, response time: 51.01ms (95%)
[  49s] threads: 256, tps: 9869.25, reads/s: 137634.42, writes/s: 0.00, response time: 50.34ms (95%)
[  50s] threads: 256, tps: 6905.00, reads/s: 97254.97, writes/s: 0.00, response time: 94.25ms (95%)
