sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 64, tps: 4624.57, reads/s: 65196.94, writes/s: 0.00, response time: 19.02ms (95%)
[   2s] threads: 64, tps: 5638.96, reads/s: 78950.39, writes/s: 0.00, response time: 14.38ms (95%)
[   3s] threads: 64, tps: 5931.14, reads/s: 83116.00, writes/s: 0.00, response time: 13.81ms (95%)
[   4s] threads: 64, tps: 6142.02, reads/s: 86009.26, writes/s: 0.00, response time: 13.64ms (95%)
[   5s] threads: 64, tps: 6272.98, reads/s: 87771.66, writes/s: 0.00, response time: 13.27ms (95%)
[   6s] threads: 64, tps: 6395.91, reads/s: 89571.72, writes/s: 0.00, response time: 13.08ms (95%)
[   7s] threads: 64, tps: 6450.12, reads/s: 90295.63, writes/s: 0.00, response time: 13.06ms (95%)
[   8s] threads: 64, tps: 6554.98, reads/s: 91732.66, writes/s: 0.00, response time: 13.05ms (95%)
[   9s] threads: 64, tps: 6679.01, reads/s: 93397.08, writes/s: 0.00, response time: 12.75ms (95%)
[  10s] threads: 64, tps: 6734.97, reads/s: 94412.57, writes/s: 0.00, response time: 12.70ms (95%)
[  11s] threads: 64, tps: 6766.84, reads/s: 94732.83, writes/s: 0.00, response time: 12.65ms (95%)
[  12s] threads: 64, tps: 6816.21, reads/s: 95455.95, writes/s: 0.00, response time: 12.54ms (95%)
[  13s] threads: 64, tps: 6889.96, reads/s: 96423.48, writes/s: 0.00, response time: 12.60ms (95%)
[  14s] threads: 64, tps: 6989.00, reads/s: 97879.96, writes/s: 0.00, response time: 12.41ms (95%)
[  15s] threads: 64, tps: 7002.03, reads/s: 97978.42, writes/s: 0.00, response time: 12.36ms (95%)
[  16s] threads: 64, tps: 7061.01, reads/s: 98883.10, writes/s: 0.00, response time: 12.26ms (95%)
[  17s] threads: 64, tps: 7080.99, reads/s: 99131.88, writes/s: 0.00, response time: 12.33ms (95%)
[  18s] threads: 64, tps: 7135.98, reads/s: 99928.76, writes/s: 0.00, response time: 12.17ms (95%)
[  19s] threads: 64, tps: 7199.01, reads/s: 100809.15, writes/s: 0.00, response time: 12.13ms (95%)
[  20s] threads: 64, tps: 7214.97, reads/s: 100906.63, writes/s: 0.00, response time: 12.09ms (95%)
[  21s] threads: 64, tps: 7262.04, reads/s: 101755.49, writes/s: 0.00, response time: 12.02ms (95%)
[  22s] threads: 64, tps: 7285.99, reads/s: 101994.79, writes/s: 0.00, response time: 12.10ms (95%)
[  23s] threads: 64, tps: 7349.91, reads/s: 102860.70, writes/s: 0.00, response time: 11.99ms (95%)
[  24s] threads: 64, tps: 7383.10, reads/s: 103379.44, writes/s: 0.00, response time: 11.90ms (95%)
[  25s] threads: 64, tps: 7455.82, reads/s: 104349.46, writes/s: 0.00, response time: 11.84ms (95%)
[  26s] threads: 64, tps: 7426.17, reads/s: 103949.36, writes/s: 0.00, response time: 11.90ms (95%)
[  27s] threads: 64, tps: 7448.93, reads/s: 104342.08, writes/s: 0.00, response time: 11.91ms (95%)
[  28s] threads: 64, tps: 7524.02, reads/s: 105300.26, writes/s: 0.00, response time: 11.79ms (95%)
[  29s] threads: 64, tps: 7549.97, reads/s: 105656.60, writes/s: 0.00, response time: 11.67ms (95%)
[  30s] threads: 64, tps: 7585.98, reads/s: 106291.70, writes/s: 0.00, response time: 11.79ms (95%)
[  31s] threads: 64, tps: 7560.07, reads/s: 105808.96, writes/s: 0.00, response time: 11.77ms (95%)
[  32s] threads: 64, tps: 7624.92, reads/s: 106736.89, writes/s: 0.00, response time: 11.58ms (95%)
[  33s] threads: 64, tps: 7680.09, reads/s: 107481.29, writes/s: 0.00, response time: 11.60ms (95%)
[  34s] threads: 64, tps: 7697.00, reads/s: 107732.00, writes/s: 0.00, response time: 11.65ms (95%)
[  35s] threads: 64, tps: 7731.04, reads/s: 108316.57, writes/s: 0.00, response time: 11.63ms (95%)
[  36s] threads: 64, tps: 7708.96, reads/s: 107926.51, writes/s: 0.00, response time: 11.61ms (95%)
[  37s] threads: 64, tps: 7707.00, reads/s: 107808.06, writes/s: 0.00, response time: 11.58ms (95%)
[  38s] threads: 64, tps: 7793.90, reads/s: 109188.60, writes/s: 0.00, response time: 11.51ms (95%)
[  39s] threads: 64, tps: 7819.11, reads/s: 109415.53, writes/s: 0.00, response time: 11.57ms (95%)
[  40s] threads: 64, tps: 7800.00, reads/s: 109337.02, writes/s: 0.00, response time: 11.60ms (95%)
[  41s] threads: 64, tps: 7862.97, reads/s: 109966.61, writes/s: 0.00, response time: 11.34ms (95%)
[  42s] threads: 64, tps: 7834.99, reads/s: 109692.84, writes/s: 0.00, response time: 11.61ms (95%)
[  43s] threads: 64, tps: 7914.05, reads/s: 110824.74, writes/s: 0.00, response time: 11.25ms (95%)
[  44s] threads: 64, tps: 7955.99, reads/s: 111382.91, writes/s: 0.00, response time: 11.34ms (95%)
[  45s] threads: 64, tps: 7964.01, reads/s: 111478.16, writes/s: 0.00, response time: 11.47ms (95%)
[  46s] threads: 64, tps: 7987.99, reads/s: 111862.89, writes/s: 0.00, response time: 11.39ms (95%)
[  47s] threads: 64, tps: 7960.82, reads/s: 111450.43, writes/s: 0.00, response time: 11.43ms (95%)
[  48s] threads: 64, tps: 7980.11, reads/s: 111749.54, writes/s: 0.00, response time: 11.36ms (95%)
[  49s] threads: 64, tps: 8008.03, reads/s: 112122.42, writes/s: 0.00, response time: 11.28ms (95%)
[  50s] threads: 64, tps: 8054.03, reads/s: 112759.43, writes/s: 0.00, response time: 11.34ms (95%)
[  51s] threads: 64, tps: 8049.88, reads/s: 112689.38, writes/s: 0.00, response time: 11.22ms (95%)
[  52s] threads: 64, tps: 8096.12, reads/s: 113342.64, writes/s: 0.00, response time: 11.22ms (95%)
[  53s] threads: 64, tps: 8107.96, reads/s: 113408.49, writes/s: 0.00, response time: 11.12ms (95%)
[  54s] threads: 64, tps: 8170.02, reads/s: 114417.33, writes/s: 0.00, response time: 11.07ms (95%)
[  55s] threads: 64, tps: 8154.01, reads/s: 114181.10, writes/s: 0.00, response time: 11.09ms (95%)
[  56s] threads: 64, tps: 8122.90, reads/s: 113812.63, writes/s: 0.00, response time: 11.10ms (95%)
[  57s] threads: 64, tps: 8159.88, reads/s: 114156.26, writes/s: 0.00, response time: 11.23ms (95%)
[  58s] threads: 64, tps: 7815.20, reads/s: 109436.84, writes/s: 0.00, response time: 11.64ms (95%)
[  59s] threads: 64, tps: 7941.00, reads/s: 111142.06, writes/s: 0.00, response time: 11.41ms (95%)
[  60s] threads: 64, tps: 8025.66, reads/s: 112383.30, writes/s: 0.00, response time: 11.32ms (95%)
[  61s] threads: 64, tps: 7934.24, reads/s: 111149.41, writes/s: 0.00, response time: 11.46ms (95%)
[  62s] threads: 64, tps: 7959.00, reads/s: 111402.97, writes/s: 0.00, response time: 11.40ms (95%)
[  63s] threads: 64, tps: 8040.93, reads/s: 112481.00, writes/s: 0.00, response time: 11.30ms (95%)
[  64s] threads: 64, tps: 7990.14, reads/s: 111885.97, writes/s: 0.00, response time: 11.29ms (95%)
[  65s] threads: 64, tps: 8018.03, reads/s: 112244.41, writes/s: 0.00, response time: 11.32ms (95%)
[  66s] threads: 64, tps: 7996.97, reads/s: 111942.53, writes/s: 0.00, response time: 11.25ms (95%)
[  67s] threads: 64, tps: 8017.99, reads/s: 112314.81, writes/s: 0.00, response time: 11.35ms (95%)
[  68s] threads: 64, tps: 8022.00, reads/s: 112344.94, writes/s: 0.00, response time: 11.30ms (95%)
[  69s] threads: 64, tps: 7997.99, reads/s: 111890.80, writes/s: 0.00, response time: 11.28ms (95%)
[  70s] threads: 64, tps: 8016.06, reads/s: 112195.77, writes/s: 0.00, response time: 11.37ms (95%)
[  71s] threads: 64, tps: 8034.01, reads/s: 112545.12, writes/s: 0.00, response time: 11.30ms (95%)
[  72s] threads: 64, tps: 7976.01, reads/s: 111733.09, writes/s: 0.00, response time: 11.43ms (95%)
[  73s] threads: 64, tps: 8061.99, reads/s: 112690.93, writes/s: 0.00, response time: 11.20ms (95%)
[  74s] threads: 64, tps: 8031.88, reads/s: 112555.30, writes/s: 0.00, response time: 11.43ms (95%)
[  75s] threads: 64, tps: 8041.14, reads/s: 112580.96, writes/s: 0.00, response time: 11.32ms (95%)
[  76s] threads: 64, tps: 8047.96, reads/s: 112693.47, writes/s: 0.00, response time: 11.34ms (95%)
