sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 64, tps: 4505.61, reads/s: 63556.57, writes/s: 0.00, response time: 18.40ms (95%)
[   2s] threads: 64, tps: 4965.04, reads/s: 69554.59, writes/s: 0.00, response time: 16.39ms (95%)
[   3s] threads: 64, tps: 5049.00, reads/s: 70607.02, writes/s: 0.00, response time: 17.35ms (95%)
[   4s] threads: 64, tps: 5064.00, reads/s: 71030.07, writes/s: 0.00, response time: 17.25ms (95%)
[   5s] threads: 64, tps: 5109.98, reads/s: 71486.78, writes/s: 0.00, response time: 17.85ms (95%)
[   6s] threads: 64, tps: 5128.95, reads/s: 71725.25, writes/s: 0.00, response time: 17.85ms (95%)
[   7s] threads: 64, tps: 5143.03, reads/s: 72069.46, writes/s: 0.00, response time: 17.23ms (95%)
[   8s] threads: 64, tps: 5233.03, reads/s: 73297.44, writes/s: 0.00, response time: 16.10ms (95%)
[   9s] threads: 64, tps: 5256.98, reads/s: 73514.75, writes/s: 0.00, response time: 15.73ms (95%)
[  10s] threads: 64, tps: 5263.99, reads/s: 73758.90, writes/s: 0.00, response time: 15.84ms (95%)
[  11s] threads: 64, tps: 5292.00, reads/s: 74076.02, writes/s: 0.00, response time: 15.76ms (95%)
[  12s] threads: 64, tps: 5296.02, reads/s: 74095.31, writes/s: 0.00, response time: 16.14ms (95%)
[  13s] threads: 64, tps: 5314.97, reads/s: 74390.58, writes/s: 0.00, response time: 15.98ms (95%)
[  14s] threads: 64, tps: 5325.02, reads/s: 74595.34, writes/s: 0.00, response time: 16.06ms (95%)
[  15s] threads: 64, tps: 5339.00, reads/s: 74671.01, writes/s: 0.00, response time: 16.14ms (95%)
[  16s] threads: 64, tps: 5335.95, reads/s: 74821.32, writes/s: 0.00, response time: 15.97ms (95%)
[  17s] threads: 64, tps: 5339.02, reads/s: 74775.26, writes/s: 0.00, response time: 16.08ms (95%)
[  18s] threads: 64, tps: 5244.02, reads/s: 73322.29, writes/s: 0.00, response time: 18.68ms (95%)
[  19s] threads: 64, tps: 5233.95, reads/s: 73354.33, writes/s: 0.00, response time: 18.40ms (95%)
[  20s] threads: 64, tps: 5263.07, reads/s: 73660.00, writes/s: 0.00, response time: 18.17ms (95%)
[  21s] threads: 64, tps: 5269.99, reads/s: 73727.86, writes/s: 0.00, response time: 18.56ms (95%)
[  22s] threads: 64, tps: 5272.98, reads/s: 73824.73, writes/s: 0.00, response time: 18.70ms (95%)
[  23s] threads: 64, tps: 5277.02, reads/s: 73893.30, writes/s: 0.00, response time: 18.26ms (95%)
