sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 256
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 256, tps: 5066.44, reads/s: 72834.93, writes/s: 0.00, response time: 83.16ms (95%)
[   2s] threads: 256, tps: 6609.01, reads/s: 92659.17, writes/s: 0.00, response time: 57.70ms (95%)
[   3s] threads: 256, tps: 7136.00, reads/s: 99929.00, writes/s: 0.00, response time: 53.24ms (95%)
[   4s] threads: 256, tps: 7535.99, reads/s: 105555.80, writes/s: 0.00, response time: 53.53ms (95%)
[   5s] threads: 256, tps: 7772.08, reads/s: 108689.14, writes/s: 0.00, response time: 52.80ms (95%)
[   6s] threads: 256, tps: 8083.90, reads/s: 113173.59, writes/s: 0.00, response time: 49.92ms (95%)
[   7s] threads: 256, tps: 8296.10, reads/s: 116202.38, writes/s: 0.00, response time: 49.31ms (95%)
[   8s] threads: 256, tps: 8554.82, reads/s: 119741.44, writes/s: 0.00, response time: 46.96ms (95%)
[   9s] threads: 256, tps: 8745.96, reads/s: 122331.43, writes/s: 0.00, response time: 46.43ms (95%)
[  10s] threads: 256, tps: 8836.24, reads/s: 123887.39, writes/s: 0.00, response time: 46.06ms (95%)
[  11s] threads: 256, tps: 9033.88, reads/s: 126316.34, writes/s: 0.00, response time: 45.25ms (95%)
[  12s] threads: 256, tps: 9154.12, reads/s: 128167.64, writes/s: 0.00, response time: 43.76ms (95%)
[  13s] threads: 256, tps: 9391.73, reads/s: 131841.15, writes/s: 0.00, response time: 42.38ms (95%)
[  14s] threads: 256, tps: 9436.28, reads/s: 131678.92, writes/s: 0.00, response time: 42.92ms (95%)
[  15s] threads: 256, tps: 9556.94, reads/s: 134061.11, writes/s: 0.00, response time: 42.55ms (95%)
[  16s] threads: 256, tps: 9563.90, reads/s: 133999.64, writes/s: 0.00, response time: 43.98ms (95%)
[  17s] threads: 256, tps: 9618.87, reads/s: 134584.13, writes/s: 0.00, response time: 44.94ms (95%)
[  18s] threads: 256, tps: 9625.02, reads/s: 134830.22, writes/s: 0.00, response time: 44.43ms (95%)
[  19s] threads: 256, tps: 9764.05, reads/s: 136559.69, writes/s: 0.00, response time: 43.49ms (95%)
[  20s] threads: 256, tps: 9821.16, reads/s: 137368.17, writes/s: 0.00, response time: 44.43ms (95%)
[  21s] threads: 256, tps: 9944.11, reads/s: 139399.60, writes/s: 0.00, response time: 42.08ms (95%)
[  22s] threads: 256, tps: 9885.97, reads/s: 138461.58, writes/s: 0.00, response time: 45.96ms (95%)
[  23s] threads: 256, tps: 9946.97, reads/s: 139063.53, writes/s: 0.00, response time: 45.62ms (95%)
[  24s] threads: 256, tps: 9990.02, reads/s: 140094.26, writes/s: 0.00, response time: 41.22ms (95%)
[  25s] threads: 256, tps: 10027.02, reads/s: 140325.28, writes/s: 0.00, response time: 43.46ms (95%)
[  26s] threads: 256, tps: 10007.22, reads/s: 140077.02, writes/s: 0.00, response time: 42.02ms (95%)
[  27s] threads: 256, tps: 10008.69, reads/s: 140010.60, writes/s: 0.00, response time: 46.13ms (95%)
[  28s] threads: 256, tps: 10048.79, reads/s: 141075.02, writes/s: 0.00, response time: 44.86ms (95%)
[  29s] threads: 256, tps: 10129.65, reads/s: 141427.06, writes/s: 0.00, response time: 45.09ms (95%)
[  30s] threads: 256, tps: 10087.67, reads/s: 141386.44, writes/s: 0.00, response time: 43.01ms (95%)
[  31s] threads: 256, tps: 10125.70, reads/s: 141726.80, writes/s: 0.00, response time: 42.88ms (95%)
[  32s] threads: 256, tps: 10222.22, reads/s: 143078.13, writes/s: 0.00, response time: 40.63ms (95%)
[  33s] threads: 256, tps: 10224.61, reads/s: 142875.56, writes/s: 0.00, response time: 45.35ms (95%)
[  34s] threads: 256, tps: 10226.43, reads/s: 143235.98, writes/s: 0.00, response time: 43.68ms (95%)
[  35s] threads: 256, tps: 10199.86, reads/s: 143059.09, writes/s: 0.00, response time: 48.80ms (95%)
[  36s] threads: 256, tps: 10286.18, reads/s: 143996.50, writes/s: 0.00, response time: 43.60ms (95%)
[  37s] threads: 256, tps: 10268.52, reads/s: 143672.23, writes/s: 0.00, response time: 42.47ms (95%)
[  38s] threads: 256, tps: 10299.36, reads/s: 144288.11, writes/s: 0.00, response time: 42.12ms (95%)
[  39s] threads: 256, tps: 10346.11, reads/s: 144742.48, writes/s: 0.00, response time: 39.70ms (95%)
[  40s] threads: 256, tps: 10392.63, reads/s: 145164.80, writes/s: 0.00, response time: 42.80ms (95%)
[  41s] threads: 256, tps: 10341.37, reads/s: 145143.18, writes/s: 0.00, response time: 43.55ms (95%)
[  42s] threads: 256, tps: 10373.86, reads/s: 145409.06, writes/s: 0.00, response time: 41.71ms (95%)
[  43s] threads: 256, tps: 10319.14, reads/s: 144389.01, writes/s: 0.00, response time: 41.47ms (95%)
[  44s] threads: 256, tps: 10379.94, reads/s: 145365.17, writes/s: 0.00, response time: 39.60ms (95%)
[  45s] threads: 256, tps: 10211.99, reads/s: 142330.83, writes/s: 0.00, response time: 41.91ms (95%)
[  46s] threads: 256, tps: 6309.00, reads/s: 88513.97, writes/s: 0.00, response time: 70.69ms (95%)
[  47s] threads: 256, tps: 9785.93, reads/s: 137301.01, writes/s: 0.00, response time: 49.52ms (95%)
[  48s] threads: 256, tps: 10176.09, reads/s: 142562.21, writes/s: 0.00, response time: 44.69ms (95%)
[  49s] threads: 256, tps: 10263.57, reads/s: 143469.00, writes/s: 0.00, response time: 44.05ms (95%)
[  50s] threads: 256, tps: 10160.48, reads/s: 142376.76, writes/s: 0.00, response time: 47.44ms (95%)
[  51s] threads: 256, tps: 10214.00, reads/s: 143353.06, writes/s: 0.00, response time: 43.63ms (95%)
[  52s] threads: 256, tps: 10239.62, reads/s: 142845.67, writes/s: 0.00, response time: 43.03ms (95%)
[  53s] threads: 256, tps: 10198.28, reads/s: 143030.87, writes/s: 0.00, response time: 44.09ms (95%)
[  54s] threads: 256, tps: 10077.06, reads/s: 140681.86, writes/s: 0.00, response time: 44.46ms (95%)
[  55s] threads: 256, tps: 9899.95, reads/s: 138666.23, writes/s: 0.00, response time: 48.59ms (95%)
[  56s] threads: 256, tps: 10067.08, reads/s: 141045.11, writes/s: 0.00, response time: 54.40ms (95%)
[  57s] threads: 256, tps: 10215.01, reads/s: 143207.13, writes/s: 0.00, response time: 45.69ms (95%)
[  58s] threads: 256, tps: 10097.00, reads/s: 141473.07, writes/s: 0.00, response time: 51.73ms (95%)
[  59s] threads: 256, tps: 10081.72, reads/s: 140871.06, writes/s: 0.00, response time: 48.33ms (95%)
[  60s] threads: 256, tps: 10207.13, reads/s: 142873.89, writes/s: 0.00, response time: 46.84ms (95%)
[  61s] threads: 256, tps: 10278.02, reads/s: 143771.30, writes/s: 0.00, response time: 43.53ms (95%)
[  62s] threads: 256, tps: 10274.04, reads/s: 143947.58, writes/s: 0.00, response time: 45.36ms (95%)
[  63s] threads: 256, tps: 10061.08, reads/s: 141061.19, writes/s: 0.00, response time: 49.15ms (95%)
[  64s] threads: 256, tps: 10270.68, reads/s: 143420.49, writes/s: 0.00, response time: 45.87ms (95%)
[  65s] threads: 256, tps: 9961.25, reads/s: 139635.44, writes/s: 0.00, response time: 48.90ms (95%)
[  66s] threads: 256, tps: 10241.07, reads/s: 143542.03, writes/s: 0.00, response time: 47.06ms (95%)
[  67s] threads: 256, tps: 10255.95, reads/s: 143525.33, writes/s: 0.00, response time: 49.05ms (95%)
[  68s] threads: 256, tps: 10266.04, reads/s: 143652.55, writes/s: 0.00, response time: 47.33ms (95%)
[  69s] threads: 256, tps: 10286.94, reads/s: 144227.21, writes/s: 0.00, response time: 44.61ms (95%)
[  70s] threads: 256, tps: 10334.96, reads/s: 144458.40, writes/s: 0.00, response time: 41.35ms (95%)
[  71s] threads: 256, tps: 10276.72, reads/s: 143827.08, writes/s: 0.00, response time: 44.30ms (95%)
[  72s] threads: 256, tps: 10316.32, reads/s: 144625.52, writes/s: 0.00, response time: 41.65ms (95%)
[  73s] threads: 256, tps: 10271.70, reads/s: 143929.75, writes/s: 0.00, response time: 45.23ms (95%)
[  74s] threads: 256, tps: 10283.36, reads/s: 143634.02, writes/s: 0.00, response time: 45.50ms (95%)
[  75s] threads: 256, tps: 10261.06, reads/s: 143989.90, writes/s: 0.00, response time: 46.66ms (95%)
[  76s] threads: 256, tps: 10348.98, reads/s: 144796.75, writes/s: 0.00, response time: 41.39ms (95%)
[  77s] threads: 256, tps: 10275.90, reads/s: 143909.53, writes/s: 0.00, response time: 43.62ms (95%)
[  78s] threads: 256, tps: 10274.00, reads/s: 143871.94, writes/s: 0.00, response time: 46.35ms (95%)
[  79s] threads: 256, tps: 10344.10, reads/s: 144803.45, writes/s: 0.00, response time: 42.09ms (95%)
[  80s] threads: 256, tps: 10223.80, reads/s: 142581.24, writes/s: 0.00, response time: 42.10ms (95%)
[  81s] threads: 256, tps: 9846.02, reads/s: 138211.23, writes/s: 0.00, response time: 51.07ms (95%)
[  82s] threads: 256, tps: 10354.15, reads/s: 145071.07, writes/s: 0.00, response time: 40.82ms (95%)
[  83s] threads: 256, tps: 10318.87, reads/s: 144193.22, writes/s: 0.00, response time: 44.93ms (95%)
[  84s] threads: 256, tps: 10258.10, reads/s: 143766.45, writes/s: 0.00, response time: 45.74ms (95%)
[  85s] threads: 256, tps: 10315.05, reads/s: 144497.70, writes/s: 0.00, response time: 42.47ms (95%)
[  86s] threads: 256, tps: 10336.98, reads/s: 144634.68, writes/s: 0.00, response time: 43.15ms (95%)
[  87s] threads: 256, tps: 10320.03, reads/s: 144696.37, writes/s: 0.00, response time: 43.43ms (95%)
[  88s] threads: 256, tps: 10277.59, reads/s: 143738.30, writes/s: 0.00, response time: 46.02ms (95%)
[  89s] threads: 256, tps: 10274.39, reads/s: 143821.50, writes/s: 0.00, response time: 44.42ms (95%)
[  90s] threads: 256, tps: 10327.00, reads/s: 144740.99, writes/s: 0.00, response time: 41.99ms (95%)
[  91s] threads: 256, tps: 10340.75, reads/s: 144673.55, writes/s: 0.00, response time: 40.82ms (95%)
[  92s] threads: 256, tps: 10297.17, reads/s: 143677.35, writes/s: 0.00, response time: 40.95ms (95%)
[  93s] threads: 256, tps: 10052.08, reads/s: 140878.15, writes/s: 0.00, response time: 50.52ms (95%)
[  94s] threads: 256, tps: 10327.76, reads/s: 145030.65, writes/s: 0.00, response time: 42.17ms (95%)
[  95s] threads: 256, tps: 10369.24, reads/s: 145138.29, writes/s: 0.00, response time: 42.37ms (95%)
[  96s] threads: 256, tps: 10359.74, reads/s: 144667.41, writes/s: 0.00, response time: 42.41ms (95%)
[  97s] threads: 256, tps: 10166.18, reads/s: 142565.50, writes/s: 0.00, response time: 52.32ms (95%)
[  98s] threads: 256, tps: 10374.96, reads/s: 144901.50, writes/s: 0.00, response time: 45.46ms (95%)
[  99s] threads: 256, tps: 10272.12, reads/s: 144244.75, writes/s: 0.00, response time: 48.07ms (95%)
[ 100s] threads: 256, tps: 10394.91, reads/s: 145230.80, writes/s: 0.00, response time: 41.11ms (95%)
[ 101s] threads: 256, tps: 10378.75, reads/s: 145280.56, writes/s: 0.00, response time: 41.89ms (95%)
[ 102s] threads: 256, tps: 10374.19, reads/s: 145607.69, writes/s: 0.00, response time: 41.21ms (95%)
[ 103s] threads: 256, tps: 10351.07, reads/s: 144946.97, writes/s: 0.00, response time: 41.59ms (95%)
[ 104s] threads: 256, tps: 10327.97, reads/s: 144484.56, writes/s: 0.00, response time: 47.09ms (95%)
[ 105s] threads: 256, tps: 10359.09, reads/s: 144896.23, writes/s: 0.00, response time: 44.33ms (95%)
[ 106s] threads: 256, tps: 10380.98, reads/s: 145114.72, writes/s: 0.00, response time: 43.83ms (95%)
[ 107s] threads: 256, tps: 10333.83, reads/s: 144951.62, writes/s: 0.00, response time: 42.90ms (95%)
[ 108s] threads: 256, tps: 10415.61, reads/s: 145849.49, writes/s: 0.00, response time: 41.80ms (95%)
[ 109s] threads: 256, tps: 10379.57, reads/s: 145007.95, writes/s: 0.00, response time: 44.58ms (95%)
[ 110s] threads: 256, tps: 10351.83, reads/s: 144625.62, writes/s: 0.00, response time: 42.58ms (95%)
[ 111s] threads: 256, tps: 10298.00, reads/s: 144718.05, writes/s: 0.00, response time: 41.18ms (95%)
[ 112s] threads: 256, tps: 10400.20, reads/s: 145582.78, writes/s: 0.00, response time: 41.89ms (95%)
[ 113s] threads: 256, tps: 10181.00, reads/s: 142500.97, writes/s: 0.00, response time: 47.77ms (95%)
[ 114s] threads: 256, tps: 10368.99, reads/s: 144995.92, writes/s: 0.00, response time: 44.04ms (95%)
[ 115s] threads: 256, tps: 10301.90, reads/s: 144181.59, writes/s: 0.00, response time: 48.00ms (95%)
[ 116s] threads: 256, tps: 9989.11, reads/s: 140288.60, writes/s: 0.00, response time: 48.93ms (95%)
[ 117s] threads: 256, tps: 10381.89, reads/s: 145281.53, writes/s: 0.00, response time: 43.71ms (95%)
[ 118s] threads: 256, tps: 10420.09, reads/s: 145759.28, writes/s: 0.00, response time: 41.50ms (95%)
[ 119s] threads: 256, tps: 10164.02, reads/s: 142102.33, writes/s: 0.00, response time: 47.67ms (95%)
[ 120s] threads: 256, tps: 10360.88, reads/s: 145477.37, writes/s: 0.00, response time: 45.73ms (95%)
[ 121s] threads: 256, tps: 9183.17, reads/s: 127915.46, writes/s: 0.00, response time: 43.32ms (95%)
[ 122s] threads: 256, tps: 9528.78, reads/s: 134056.98, writes/s: 0.00, response time: 50.46ms (95%)
[ 123s] threads: 256, tps: 10361.18, reads/s: 145053.48, writes/s: 0.00, response time: 42.00ms (95%)
[ 124s] threads: 256, tps: 10411.79, reads/s: 145639.12, writes/s: 0.00, response time: 40.21ms (95%)
[ 125s] threads: 256, tps: 10413.06, reads/s: 145579.87, writes/s: 0.00, response time: 42.73ms (95%)
[ 126s] threads: 256, tps: 10412.02, reads/s: 146114.29, writes/s: 0.00, response time: 41.28ms (95%)
[ 127s] threads: 256, tps: 10409.08, reads/s: 145297.09, writes/s: 0.00, response time: 39.72ms (95%)
[ 128s] threads: 256, tps: 10334.86, reads/s: 144849.02, writes/s: 0.00, response time: 44.06ms (95%)
[ 129s] threads: 256, tps: 10418.16, reads/s: 145950.28, writes/s: 0.00, response time: 42.12ms (95%)
[ 130s] threads: 256, tps: 8603.09, reads/s: 120014.36, writes/s: 0.00, response time: 42.53ms (95%)
[ 131s] threads: 256, tps: 9308.82, reads/s: 130677.48, writes/s: 0.00, response time: 55.17ms (95%)
[ 132s] threads: 256, tps: 10402.93, reads/s: 145496.99, writes/s: 0.00, response time: 44.33ms (95%)
[ 133s] threads: 256, tps: 10391.23, reads/s: 145739.27, writes/s: 0.00, response time: 43.02ms (95%)
[ 134s] threads: 256, tps: 10390.00, reads/s: 145462.98, writes/s: 0.00, response time: 43.33ms (95%)
[ 135s] threads: 256, tps: 10419.00, reads/s: 145783.03, writes/s: 0.00, response time: 44.31ms (95%)
[ 136s] threads: 256, tps: 10420.63, reads/s: 145429.79, writes/s: 0.00, response time: 40.61ms (95%)
[ 137s] threads: 256, tps: 10359.05, reads/s: 145610.75, writes/s: 0.00, response time: 41.69ms (95%)
[ 138s] threads: 256, tps: 10396.33, reads/s: 145455.56, writes/s: 0.00, response time: 46.25ms (95%)
[ 139s] threads: 256, tps: 10318.02, reads/s: 144906.34, writes/s: 0.00, response time: 44.38ms (95%)
[ 140s] threads: 256, tps: 10436.88, reads/s: 145674.36, writes/s: 0.00, response time: 43.83ms (95%)
[ 141s] threads: 256, tps: 10401.07, reads/s: 145617.01, writes/s: 0.00, response time: 42.43ms (95%)
