sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 90.07, reads/s: 1270.05, writes/s: 360.30, response time: 13.31ms (95%)
[   2s] threads: 1, tps: 104.00, reads/s: 1461.03, writes/s: 418.01, response time: 12.50ms (95%)
[   3s] threads: 1, tps: 114.00, reads/s: 1582.98, writes/s: 453.99, response time: 12.51ms (95%)
[   4s] threads: 1, tps: 122.00, reads/s: 1708.00, writes/s: 488.00, response time: 10.18ms (95%)
[   5s] threads: 1, tps: 126.00, reads/s: 1764.99, writes/s: 504.00, response time: 9.42ms (95%)
[   6s] threads: 1, tps: 114.00, reads/s: 1603.01, writes/s: 456.00, response time: 15.88ms (95%)
[   7s] threads: 1, tps: 132.00, reads/s: 1840.00, writes/s: 528.00, response time: 8.90ms (95%)
[   8s] threads: 1, tps: 131.00, reads/s: 1836.98, writes/s: 523.99, response time: 8.79ms (95%)
[   9s] threads: 1, tps: 136.00, reads/s: 1913.05, writes/s: 544.01, response time: 8.48ms (95%)
[  10s] threads: 1, tps: 138.00, reads/s: 1930.97, writes/s: 551.99, response time: 8.56ms (95%)
[  11s] threads: 1, tps: 137.00, reads/s: 1914.00, writes/s: 548.00, response time: 8.46ms (95%)
[  12s] threads: 1, tps: 139.00, reads/s: 1950.00, writes/s: 556.00, response time: 8.73ms (95%)
[  13s] threads: 1, tps: 143.00, reads/s: 2002.00, writes/s: 572.00, response time: 8.29ms (95%)
[  14s] threads: 1, tps: 142.00, reads/s: 1980.00, writes/s: 568.00, response time: 8.33ms (95%)
[  15s] threads: 1, tps: 148.00, reads/s: 2078.94, writes/s: 591.98, response time: 7.91ms (95%)
[  16s] threads: 1, tps: 145.00, reads/s: 2032.06, writes/s: 580.02, response time: 8.04ms (95%)
[  17s] threads: 1, tps: 146.00, reads/s: 2038.01, writes/s: 584.00, response time: 8.13ms (95%)
[  18s] threads: 1, tps: 150.00, reads/s: 2098.99, writes/s: 600.00, response time: 8.04ms (95%)
[  19s] threads: 1, tps: 149.00, reads/s: 2091.03, writes/s: 596.01, response time: 8.11ms (95%)
[  20s] threads: 1, tps: 150.99, reads/s: 2106.92, writes/s: 603.98, response time: 7.63ms (95%)
[  21s] threads: 1, tps: 151.00, reads/s: 2111.05, writes/s: 604.01, response time: 7.76ms (95%)
[  22s] threads: 1, tps: 151.00, reads/s: 2126.03, writes/s: 604.01, response time: 7.79ms (95%)
[  23s] threads: 1, tps: 153.00, reads/s: 2141.99, writes/s: 612.00, response time: 7.63ms (95%)
[  24s] threads: 1, tps: 151.99, reads/s: 2128.87, writes/s: 611.96, response time: 7.50ms (95%)
[  25s] threads: 1, tps: 155.01, reads/s: 2157.10, writes/s: 616.03, response time: 7.71ms (95%)
[  26s] threads: 1, tps: 156.00, reads/s: 2183.00, writes/s: 624.00, response time: 7.46ms (95%)
[  27s] threads: 1, tps: 157.00, reads/s: 2210.02, writes/s: 628.01, response time: 7.30ms (95%)
[  28s] threads: 1, tps: 153.00, reads/s: 2144.00, writes/s: 613.00, response time: 7.69ms (95%)
[  29s] threads: 1, tps: 155.00, reads/s: 2169.94, writes/s: 618.98, response time: 7.71ms (95%)
[  30s] threads: 1, tps: 158.00, reads/s: 2200.05, writes/s: 632.01, response time: 7.53ms (95%)
[  31s] threads: 1, tps: 158.00, reads/s: 2223.00, writes/s: 632.00, response time: 7.48ms (95%)
[  32s] threads: 1, tps: 156.00, reads/s: 2174.01, writes/s: 624.00, response time: 7.58ms (95%)
[  33s] threads: 1, tps: 157.99, reads/s: 2222.91, writes/s: 635.97, response time: 7.64ms (95%)
[  34s] threads: 1, tps: 157.01, reads/s: 2198.09, writes/s: 625.02, response time: 7.57ms (95%)
[  35s] threads: 1, tps: 163.00, reads/s: 2281.93, writes/s: 651.98, response time: 7.21ms (95%)
[  36s] threads: 1, tps: 157.01, reads/s: 2195.10, writes/s: 627.03, response time: 7.35ms (95%)
[  37s] threads: 1, tps: 160.00, reads/s: 2233.96, writes/s: 639.99, response time: 7.44ms (95%)
[  38s] threads: 1, tps: 158.00, reads/s: 2213.00, writes/s: 632.00, response time: 7.33ms (95%)
[  39s] threads: 1, tps: 160.00, reads/s: 2248.00, writes/s: 640.00, response time: 7.34ms (95%)
[  40s] threads: 1, tps: 160.01, reads/s: 2240.07, writes/s: 640.02, response time: 7.22ms (95%)
[  41s] threads: 1, tps: 161.00, reads/s: 2254.00, writes/s: 647.00, response time: 7.33ms (95%)
[  42s] threads: 1, tps: 161.00, reads/s: 2253.00, writes/s: 641.00, response time: 7.26ms (95%)
[  43s] threads: 1, tps: 163.00, reads/s: 2280.01, writes/s: 652.00, response time: 7.22ms (95%)
[  44s] threads: 1, tps: 158.00, reads/s: 2210.99, writes/s: 632.00, response time: 7.53ms (95%)
[  45s] threads: 1, tps: 159.00, reads/s: 2229.99, writes/s: 638.00, response time: 7.18ms (95%)
[  46s] threads: 1, tps: 144.99, reads/s: 2029.83, writes/s: 577.95, response time: 12.23ms (95%)
[  47s] threads: 1, tps: 93.00, reads/s: 1301.06, writes/s: 372.02, response time: 21.96ms (95%)
[  48s] threads: 1, tps: 163.00, reads/s: 2279.96, writes/s: 651.99, response time: 7.23ms (95%)
[  49s] threads: 1, tps: 165.00, reads/s: 2310.00, writes/s: 660.00, response time: 7.30ms (95%)
