sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 8, tps: 1094.87, reads/s: 15390.24, writes/s: 0.00, response time: 10.50ms (95%)
[   2s] threads: 8, tps: 1278.01, reads/s: 17892.13, writes/s: 0.00, response time: 7.40ms (95%)
[   3s] threads: 8, tps: 1361.00, reads/s: 19037.99, writes/s: 0.00, response time: 7.02ms (95%)
[   4s] threads: 8, tps: 1387.00, reads/s: 19459.98, writes/s: 0.00, response time: 6.82ms (95%)
[   5s] threads: 8, tps: 1439.00, reads/s: 20132.02, writes/s: 0.00, response time: 6.62ms (95%)
[   6s] threads: 8, tps: 1467.00, reads/s: 20497.99, writes/s: 0.00, response time: 6.51ms (95%)
[   7s] threads: 8, tps: 1476.00, reads/s: 20694.02, writes/s: 0.00, response time: 6.44ms (95%)
[   8s] threads: 8, tps: 1501.00, reads/s: 21015.04, writes/s: 0.00, response time: 6.32ms (95%)
[   9s] threads: 8, tps: 1490.99, reads/s: 20874.80, writes/s: 0.00, response time: 6.39ms (95%)
[  10s] threads: 8, tps: 1514.01, reads/s: 21193.19, writes/s: 0.00, response time: 6.31ms (95%)
[  11s] threads: 8, tps: 1511.99, reads/s: 21164.93, writes/s: 0.00, response time: 6.36ms (95%)
[  12s] threads: 8, tps: 1524.00, reads/s: 21340.05, writes/s: 0.00, response time: 6.23ms (95%)
[  13s] threads: 8, tps: 1497.00, reads/s: 20964.95, writes/s: 0.00, response time: 6.42ms (95%)
[  14s] threads: 8, tps: 1559.00, reads/s: 21824.07, writes/s: 0.00, response time: 6.21ms (95%)
[  15s] threads: 8, tps: 1547.99, reads/s: 21663.90, writes/s: 0.00, response time: 6.15ms (95%)
[  16s] threads: 8, tps: 1562.01, reads/s: 21873.11, writes/s: 0.00, response time: 6.12ms (95%)
[  17s] threads: 8, tps: 1559.00, reads/s: 21806.00, writes/s: 0.00, response time: 6.17ms (95%)
[  18s] threads: 8, tps: 1583.99, reads/s: 22202.92, writes/s: 0.00, response time: 6.07ms (95%)
[  19s] threads: 8, tps: 1591.00, reads/s: 22279.04, writes/s: 0.00, response time: 6.04ms (95%)
[  20s] threads: 8, tps: 1595.00, reads/s: 22317.03, writes/s: 0.00, response time: 6.04ms (95%)
[  21s] threads: 8, tps: 1589.00, reads/s: 22232.96, writes/s: 0.00, response time: 6.11ms (95%)
[  22s] threads: 8, tps: 1600.00, reads/s: 22433.00, writes/s: 0.00, response time: 6.01ms (95%)
[  23s] threads: 8, tps: 1604.00, reads/s: 22448.03, writes/s: 0.00, response time: 5.98ms (95%)
[  24s] threads: 8, tps: 1602.00, reads/s: 22420.97, writes/s: 0.00, response time: 5.98ms (95%)
[  25s] threads: 8, tps: 1616.00, reads/s: 22594.01, writes/s: 0.00, response time: 5.99ms (95%)
[  26s] threads: 8, tps: 1604.00, reads/s: 22474.99, writes/s: 0.00, response time: 6.12ms (95%)
[  27s] threads: 8, tps: 1601.00, reads/s: 22437.07, writes/s: 0.00, response time: 6.13ms (95%)
[  28s] threads: 8, tps: 1614.00, reads/s: 22565.96, writes/s: 0.00, response time: 6.01ms (95%)
[  29s] threads: 8, tps: 1620.00, reads/s: 22703.96, writes/s: 0.00, response time: 5.99ms (95%)
[  30s] threads: 8, tps: 1617.00, reads/s: 22618.01, writes/s: 0.00, response time: 6.04ms (95%)
[  31s] threads: 8, tps: 1623.00, reads/s: 22748.98, writes/s: 0.00, response time: 6.07ms (95%)
[  32s] threads: 8, tps: 1631.00, reads/s: 22832.99, writes/s: 0.00, response time: 5.97ms (95%)
[  33s] threads: 8, tps: 1626.01, reads/s: 22751.07, writes/s: 0.00, response time: 6.00ms (95%)
[  34s] threads: 8, tps: 1634.00, reads/s: 22870.94, writes/s: 0.00, response time: 5.93ms (95%)
[  35s] threads: 8, tps: 1635.00, reads/s: 22889.06, writes/s: 0.00, response time: 5.97ms (95%)
[  36s] threads: 8, tps: 1620.00, reads/s: 22710.00, writes/s: 0.00, response time: 5.96ms (95%)
[  37s] threads: 8, tps: 1626.00, reads/s: 22750.01, writes/s: 0.00, response time: 5.97ms (95%)
[  38s] threads: 8, tps: 1647.00, reads/s: 23021.98, writes/s: 0.00, response time: 5.93ms (95%)
[  39s] threads: 8, tps: 1641.00, reads/s: 23025.00, writes/s: 0.00, response time: 5.90ms (95%)
[  40s] threads: 8, tps: 1651.00, reads/s: 23057.95, writes/s: 0.00, response time: 5.88ms (95%)
[  41s] threads: 8, tps: 1649.01, reads/s: 23098.09, writes/s: 0.00, response time: 5.90ms (95%)
[  42s] threads: 8, tps: 1628.00, reads/s: 22827.95, writes/s: 0.00, response time: 5.98ms (95%)
[  43s] threads: 8, tps: 1632.00, reads/s: 22830.98, writes/s: 0.00, response time: 5.93ms (95%)
[  44s] threads: 8, tps: 1644.00, reads/s: 23008.97, writes/s: 0.00, response time: 5.94ms (95%)
[  45s] threads: 8, tps: 1263.00, reads/s: 17654.04, writes/s: 0.00, response time: 13.23ms (95%)
[  46s] threads: 8, tps: 1371.00, reads/s: 19224.98, writes/s: 0.00, response time: 11.84ms (95%)
[  47s] threads: 8, tps: 1690.00, reads/s: 23652.98, writes/s: 0.00, response time: 5.75ms (95%)
[  48s] threads: 8, tps: 1680.00, reads/s: 23519.04, writes/s: 0.00, response time: 5.89ms (95%)
[  49s] threads: 8, tps: 1698.00, reads/s: 23805.02, writes/s: 0.00, response time: 5.74ms (95%)
[  50s] threads: 8, tps: 1693.00, reads/s: 23659.01, writes/s: 0.00, response time: 5.74ms (95%)
[  51s] threads: 8, tps: 1699.01, reads/s: 23791.11, writes/s: 0.00, response time: 5.73ms (95%)
