sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 64, tps: 4520.85, reads/s: 63745.86, writes/s: 0.00, response time: 18.98ms (95%)
[   2s] threads: 64, tps: 4877.04, reads/s: 68261.52, writes/s: 0.00, response time: 17.18ms (95%)
[   3s] threads: 64, tps: 4760.01, reads/s: 66678.18, writes/s: 0.00, response time: 18.81ms (95%)
[   4s] threads: 64, tps: 4780.99, reads/s: 66915.87, writes/s: 0.00, response time: 18.92ms (95%)
[   5s] threads: 64, tps: 5008.00, reads/s: 70052.95, writes/s: 0.00, response time: 16.67ms (95%)
[   6s] threads: 64, tps: 5039.95, reads/s: 70657.27, writes/s: 0.00, response time: 16.48ms (95%)
[   7s] threads: 64, tps: 5061.05, reads/s: 70853.73, writes/s: 0.00, response time: 16.43ms (95%)
[   8s] threads: 64, tps: 5109.00, reads/s: 71449.07, writes/s: 0.00, response time: 16.11ms (95%)
[   9s] threads: 64, tps: 5110.98, reads/s: 71611.73, writes/s: 0.00, response time: 16.20ms (95%)
[  10s] threads: 64, tps: 5124.01, reads/s: 71835.20, writes/s: 0.00, response time: 16.16ms (95%)
[  11s] threads: 64, tps: 5138.99, reads/s: 71909.91, writes/s: 0.00, response time: 16.05ms (95%)
[  12s] threads: 64, tps: 5152.97, reads/s: 72095.62, writes/s: 0.00, response time: 15.94ms (95%)
[  13s] threads: 64, tps: 5160.00, reads/s: 72229.98, writes/s: 0.00, response time: 16.15ms (95%)
[  14s] threads: 64, tps: 5164.04, reads/s: 72320.53, writes/s: 0.00, response time: 16.06ms (95%)
[  15s] threads: 64, tps: 5171.91, reads/s: 72422.76, writes/s: 0.00, response time: 15.92ms (95%)
[  16s] threads: 64, tps: 5181.08, reads/s: 72519.12, writes/s: 0.00, response time: 15.94ms (95%)
[  17s] threads: 64, tps: 5048.01, reads/s: 70683.12, writes/s: 0.00, response time: 17.82ms (95%)
[  18s] threads: 64, tps: 5109.00, reads/s: 71521.01, writes/s: 0.00, response time: 17.20ms (95%)
[  19s] threads: 64, tps: 5196.99, reads/s: 72821.91, writes/s: 0.00, response time: 16.02ms (95%)
[  20s] threads: 64, tps: 5217.99, reads/s: 72928.93, writes/s: 0.00, response time: 15.97ms (95%)
[  21s] threads: 64, tps: 5203.00, reads/s: 72835.97, writes/s: 0.00, response time: 16.22ms (95%)
[  22s] threads: 64, tps: 5216.99, reads/s: 73100.92, writes/s: 0.00, response time: 15.80ms (95%)
[  23s] threads: 64, tps: 5228.90, reads/s: 73114.60, writes/s: 0.00, response time: 15.82ms (95%)
[  24s] threads: 64, tps: 5223.12, reads/s: 73234.70, writes/s: 0.00, response time: 15.83ms (95%)
[  25s] threads: 64, tps: 5232.99, reads/s: 73262.84, writes/s: 0.00, response time: 15.71ms (95%)
[  26s] threads: 64, tps: 5243.01, reads/s: 73390.20, writes/s: 0.00, response time: 15.80ms (95%)
[  27s] threads: 64, tps: 5246.98, reads/s: 73387.78, writes/s: 0.00, response time: 15.88ms (95%)
[  28s] threads: 64, tps: 5251.01, reads/s: 73561.13, writes/s: 0.00, response time: 15.82ms (95%)
[  29s] threads: 64, tps: 5254.97, reads/s: 73606.58, writes/s: 0.00, response time: 15.77ms (95%)
[  30s] threads: 64, tps: 5260.03, reads/s: 73557.46, writes/s: 0.00, response time: 15.83ms (95%)
[  31s] threads: 64, tps: 5259.99, reads/s: 73676.91, writes/s: 0.00, response time: 15.82ms (95%)
[  32s] threads: 64, tps: 5270.00, reads/s: 73788.96, writes/s: 0.00, response time: 15.69ms (95%)
[  33s] threads: 64, tps: 5273.99, reads/s: 73803.83, writes/s: 0.00, response time: 15.74ms (95%)
[  34s] threads: 64, tps: 5250.01, reads/s: 73500.18, writes/s: 0.00, response time: 16.01ms (95%)
[  35s] threads: 64, tps: 5276.00, reads/s: 73962.02, writes/s: 0.00, response time: 15.81ms (95%)
[  36s] threads: 64, tps: 5287.00, reads/s: 73963.03, writes/s: 0.00, response time: 15.68ms (95%)
[  37s] threads: 64, tps: 5284.87, reads/s: 74032.23, writes/s: 0.00, response time: 15.60ms (95%)
[  38s] threads: 64, tps: 5295.07, reads/s: 74097.03, writes/s: 0.00, response time: 15.74ms (95%)
[  39s] threads: 64, tps: 5292.96, reads/s: 74168.42, writes/s: 0.00, response time: 15.79ms (95%)
[  40s] threads: 64, tps: 5304.13, reads/s: 74185.79, writes/s: 0.00, response time: 15.70ms (95%)
[  41s] threads: 64, tps: 5306.76, reads/s: 74184.63, writes/s: 0.00, response time: 15.74ms (95%)
[  42s] threads: 64, tps: 5300.20, reads/s: 74310.81, writes/s: 0.00, response time: 15.59ms (95%)
[  43s] threads: 64, tps: 5303.01, reads/s: 74259.15, writes/s: 0.00, response time: 15.68ms (95%)
[  44s] threads: 64, tps: 5307.00, reads/s: 74312.02, writes/s: 0.00, response time: 15.76ms (95%)
[  45s] threads: 64, tps: 5314.03, reads/s: 74414.38, writes/s: 0.00, response time: 15.68ms (95%)
[  46s] threads: 64, tps: 5316.96, reads/s: 74422.38, writes/s: 0.00, response time: 15.74ms (95%)
[  47s] threads: 64, tps: 5324.02, reads/s: 74454.34, writes/s: 0.00, response time: 15.80ms (95%)
