sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 16, tps: 2147.13, reads/s: 30185.88, writes/s: 0.00, response time: 9.72ms (95%)
[   2s] threads: 16, tps: 2485.07, reads/s: 34825.03, writes/s: 0.00, response time: 7.64ms (95%)
[   3s] threads: 16, tps: 2588.00, reads/s: 36203.04, writes/s: 0.00, response time: 7.41ms (95%)
[   4s] threads: 16, tps: 2649.99, reads/s: 37103.85, writes/s: 0.00, response time: 7.14ms (95%)
[   5s] threads: 16, tps: 2679.99, reads/s: 37506.80, writes/s: 0.00, response time: 7.09ms (95%)
[   6s] threads: 16, tps: 2718.00, reads/s: 38039.04, writes/s: 0.00, response time: 7.04ms (95%)
[   7s] threads: 16, tps: 2721.00, reads/s: 38111.04, writes/s: 0.00, response time: 7.12ms (95%)
[   8s] threads: 16, tps: 2779.00, reads/s: 38887.03, writes/s: 0.00, response time: 6.88ms (95%)
[   9s] threads: 16, tps: 2781.00, reads/s: 38941.98, writes/s: 0.00, response time: 6.90ms (95%)
[  10s] threads: 16, tps: 2819.00, reads/s: 39487.95, writes/s: 0.00, response time: 6.84ms (95%)
[  11s] threads: 16, tps: 2824.99, reads/s: 39512.93, writes/s: 0.00, response time: 6.88ms (95%)
[  12s] threads: 16, tps: 2844.01, reads/s: 39855.12, writes/s: 0.00, response time: 6.79ms (95%)
[  13s] threads: 16, tps: 2832.98, reads/s: 39656.78, writes/s: 0.00, response time: 6.87ms (95%)
[  14s] threads: 16, tps: 2857.02, reads/s: 39978.21, writes/s: 0.00, response time: 6.79ms (95%)
[  15s] threads: 16, tps: 2867.00, reads/s: 40179.06, writes/s: 0.00, response time: 6.74ms (95%)
[  16s] threads: 16, tps: 2873.99, reads/s: 40228.88, writes/s: 0.00, response time: 6.77ms (95%)
[  17s] threads: 16, tps: 2903.99, reads/s: 40626.79, writes/s: 0.00, response time: 6.65ms (95%)
[  18s] threads: 16, tps: 2900.01, reads/s: 40629.15, writes/s: 0.00, response time: 6.65ms (95%)
[  19s] threads: 16, tps: 2903.01, reads/s: 40623.09, writes/s: 0.00, response time: 6.68ms (95%)
[  20s] threads: 16, tps: 2889.99, reads/s: 40470.93, writes/s: 0.00, response time: 6.73ms (95%)
[  21s] threads: 16, tps: 2904.00, reads/s: 40634.04, writes/s: 0.00, response time: 6.64ms (95%)
[  22s] threads: 16, tps: 2922.00, reads/s: 40947.06, writes/s: 0.00, response time: 6.60ms (95%)
[  23s] threads: 16, tps: 2937.99, reads/s: 41082.83, writes/s: 0.00, response time: 6.63ms (95%)
[  24s] threads: 16, tps: 2927.01, reads/s: 41034.12, writes/s: 0.00, response time: 6.61ms (95%)
[  25s] threads: 16, tps: 2938.00, reads/s: 41090.06, writes/s: 0.00, response time: 6.57ms (95%)
