sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 16, tps: 2232.94, reads/s: 31367.24, writes/s: 0.00, response time: 9.17ms (95%)
[   2s] threads: 16, tps: 2566.96, reads/s: 35965.42, writes/s: 0.00, response time: 7.43ms (95%)
[   3s] threads: 16, tps: 2671.06, reads/s: 37395.88, writes/s: 0.00, response time: 7.10ms (95%)
[   4s] threads: 16, tps: 2728.00, reads/s: 38155.94, writes/s: 0.00, response time: 6.96ms (95%)
[   5s] threads: 16, tps: 2027.00, reads/s: 28392.00, writes/s: 0.00, response time: 13.83ms (95%)
[   6s] threads: 16, tps: 2600.00, reads/s: 36405.99, writes/s: 0.00, response time: 9.19ms (95%)
[   7s] threads: 16, tps: 2810.99, reads/s: 39375.92, writes/s: 0.00, response time: 6.79ms (95%)
[   8s] threads: 16, tps: 2807.00, reads/s: 39305.03, writes/s: 0.00, response time: 6.89ms (95%)
[   9s] threads: 16, tps: 2857.97, reads/s: 40002.56, writes/s: 0.00, response time: 6.69ms (95%)
[  10s] threads: 16, tps: 2865.03, reads/s: 40116.48, writes/s: 0.00, response time: 6.68ms (95%)
[  11s] threads: 16, tps: 2421.01, reads/s: 33864.08, writes/s: 0.00, response time: 11.75ms (95%)
[  12s] threads: 16, tps: 2403.00, reads/s: 33662.02, writes/s: 0.00, response time: 12.91ms (95%)
[  13s] threads: 16, tps: 2925.99, reads/s: 40918.83, writes/s: 0.00, response time: 6.55ms (95%)
[  14s] threads: 16, tps: 2930.00, reads/s: 41048.97, writes/s: 0.00, response time: 6.53ms (95%)
[  15s] threads: 16, tps: 2946.01, reads/s: 41234.15, writes/s: 0.00, response time: 6.52ms (95%)
[  16s] threads: 16, tps: 2945.00, reads/s: 41251.03, writes/s: 0.00, response time: 6.51ms (95%)
[  17s] threads: 16, tps: 2954.98, reads/s: 41342.79, writes/s: 0.00, response time: 6.51ms (95%)
[  18s] threads: 16, tps: 2984.01, reads/s: 41771.17, writes/s: 0.00, response time: 6.42ms (95%)
[  19s] threads: 16, tps: 2976.00, reads/s: 41704.00, writes/s: 0.00, response time: 6.46ms (95%)
[  20s] threads: 16, tps: 3004.00, reads/s: 42029.95, writes/s: 0.00, response time: 6.43ms (95%)
[  21s] threads: 16, tps: 3006.97, reads/s: 42124.56, writes/s: 0.00, response time: 6.42ms (95%)
[  22s] threads: 16, tps: 3023.03, reads/s: 42322.45, writes/s: 0.00, response time: 6.37ms (95%)
[  23s] threads: 16, tps: 3022.00, reads/s: 42294.00, writes/s: 0.00, response time: 6.38ms (95%)
[  24s] threads: 16, tps: 3023.00, reads/s: 42351.00, writes/s: 0.00, response time: 6.39ms (95%)
[  25s] threads: 16, tps: 3050.01, reads/s: 42661.09, writes/s: 0.00, response time: 6.39ms (95%)
[  26s] threads: 16, tps: 3056.00, reads/s: 42772.00, writes/s: 0.00, response time: 6.32ms (95%)
[  27s] threads: 16, tps: 3056.99, reads/s: 42806.82, writes/s: 0.00, response time: 6.38ms (95%)
[  28s] threads: 16, tps: 3077.01, reads/s: 43095.17, writes/s: 0.00, response time: 6.30ms (95%)
[  29s] threads: 16, tps: 3094.99, reads/s: 43337.86, writes/s: 0.00, response time: 6.29ms (95%)
[  30s] threads: 16, tps: 3094.01, reads/s: 43317.13, writes/s: 0.00, response time: 6.28ms (95%)
[  31s] threads: 16, tps: 3092.00, reads/s: 43277.96, writes/s: 0.00, response time: 6.28ms (95%)
[  32s] threads: 16, tps: 3093.00, reads/s: 43278.01, writes/s: 0.00, response time: 6.28ms (95%)
[  33s] threads: 16, tps: 3102.00, reads/s: 43470.94, writes/s: 0.00, response time: 6.26ms (95%)
[  34s] threads: 16, tps: 3095.00, reads/s: 43321.04, writes/s: 0.00, response time: 6.23ms (95%)
[  35s] threads: 16, tps: 3122.98, reads/s: 43706.77, writes/s: 0.00, response time: 6.21ms (95%)
[  36s] threads: 16, tps: 3128.02, reads/s: 43802.24, writes/s: 0.00, response time: 6.20ms (95%)
[  37s] threads: 16, tps: 3124.99, reads/s: 43736.91, writes/s: 0.00, response time: 6.23ms (95%)
[  38s] threads: 16, tps: 3145.00, reads/s: 44015.01, writes/s: 0.00, response time: 6.20ms (95%)
[  39s] threads: 16, tps: 3139.96, reads/s: 44019.51, writes/s: 0.00, response time: 6.17ms (95%)
[  40s] threads: 16, tps: 3168.04, reads/s: 44308.63, writes/s: 0.00, response time: 6.13ms (95%)
[  41s] threads: 16, tps: 3156.99, reads/s: 44219.92, writes/s: 0.00, response time: 6.19ms (95%)
[  42s] threads: 16, tps: 3143.00, reads/s: 43998.05, writes/s: 0.00, response time: 6.18ms (95%)
[  43s] threads: 16, tps: 3143.00, reads/s: 43985.94, writes/s: 0.00, response time: 6.27ms (95%)
[  44s] threads: 16, tps: 3169.01, reads/s: 44365.07, writes/s: 0.00, response time: 6.15ms (95%)
[  45s] threads: 16, tps: 3182.98, reads/s: 44557.78, writes/s: 0.00, response time: 6.10ms (95%)
[  46s] threads: 16, tps: 3183.01, reads/s: 44574.12, writes/s: 0.00, response time: 6.14ms (95%)
[  47s] threads: 16, tps: 2763.00, reads/s: 38701.98, writes/s: 0.00, response time: 10.12ms (95%)
[  48s] threads: 16, tps: 2764.01, reads/s: 38657.17, writes/s: 0.00, response time: 10.12ms (95%)
[  49s] threads: 16, tps: 3197.99, reads/s: 44781.91, writes/s: 0.00, response time: 6.10ms (95%)
[  50s] threads: 16, tps: 3211.99, reads/s: 44978.93, writes/s: 0.00, response time: 6.12ms (95%)
[  51s] threads: 16, tps: 3216.01, reads/s: 45009.09, writes/s: 0.00, response time: 6.07ms (95%)
[  52s] threads: 16, tps: 3204.99, reads/s: 44823.84, writes/s: 0.00, response time: 6.10ms (95%)
[  53s] threads: 16, tps: 3213.01, reads/s: 45056.17, writes/s: 0.00, response time: 6.05ms (95%)
[  54s] threads: 16, tps: 3225.00, reads/s: 45146.96, writes/s: 0.00, response time: 6.03ms (95%)
[  55s] threads: 16, tps: 3230.98, reads/s: 45231.70, writes/s: 0.00, response time: 6.02ms (95%)
[  56s] threads: 16, tps: 3235.01, reads/s: 45271.09, writes/s: 0.00, response time: 6.01ms (95%)
[  57s] threads: 16, tps: 3239.01, reads/s: 45364.18, writes/s: 0.00, response time: 6.00ms (95%)
[  58s] threads: 16, tps: 3242.01, reads/s: 45401.10, writes/s: 0.00, response time: 6.02ms (95%)
[  59s] threads: 16, tps: 3246.99, reads/s: 45422.84, writes/s: 0.00, response time: 6.06ms (95%)
[  60s] threads: 16, tps: 3253.00, reads/s: 45543.01, writes/s: 0.00, response time: 5.97ms (95%)
[  61s] threads: 16, tps: 2561.01, reads/s: 35880.09, writes/s: 0.00, response time: 11.35ms (95%)
[  62s] threads: 16, tps: 3077.01, reads/s: 43077.11, writes/s: 0.00, response time: 7.23ms (95%)
[  63s] threads: 16, tps: 3242.96, reads/s: 45383.38, writes/s: 0.00, response time: 6.01ms (95%)
