sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 32, tps: 3701.47, reads/s: 52100.63, writes/s: 0.00, response time: 10.82ms (95%)
[   2s] threads: 32, tps: 4152.02, reads/s: 58149.34, writes/s: 0.00, response time: 9.34ms (95%)
[   3s] threads: 32, tps: 4318.00, reads/s: 60388.02, writes/s: 0.00, response time: 8.93ms (95%)
[   4s] threads: 32, tps: 4372.01, reads/s: 61229.13, writes/s: 0.00, response time: 8.83ms (95%)
[   5s] threads: 32, tps: 4410.99, reads/s: 61747.88, writes/s: 0.00, response time: 8.81ms (95%)
[   6s] threads: 32, tps: 4454.00, reads/s: 62318.99, writes/s: 0.00, response time: 8.67ms (95%)
[   7s] threads: 32, tps: 4479.99, reads/s: 62733.91, writes/s: 0.00, response time: 8.70ms (95%)
[   8s] threads: 32, tps: 4502.01, reads/s: 63073.13, writes/s: 0.00, response time: 8.60ms (95%)
[   9s] threads: 32, tps: 4517.99, reads/s: 63269.86, writes/s: 0.00, response time: 8.61ms (95%)
[  10s] threads: 32, tps: 4554.01, reads/s: 63655.09, writes/s: 0.00, response time: 8.54ms (95%)
[  11s] threads: 32, tps: 3290.00, reads/s: 46085.97, writes/s: 0.00, response time: 16.90ms (95%)
[  12s] threads: 32, tps: 3885.98, reads/s: 54435.72, writes/s: 0.00, response time: 15.11ms (95%)
[  13s] threads: 32, tps: 4578.03, reads/s: 64132.37, writes/s: 0.00, response time: 8.52ms (95%)
[  14s] threads: 32, tps: 4523.99, reads/s: 63287.80, writes/s: 0.00, response time: 8.51ms (95%)
[  15s] threads: 32, tps: 4503.00, reads/s: 63024.02, writes/s: 0.00, response time: 8.45ms (95%)
[  16s] threads: 32, tps: 4476.02, reads/s: 62698.31, writes/s: 0.00, response time: 8.63ms (95%)
[  17s] threads: 32, tps: 4480.99, reads/s: 62758.80, writes/s: 0.00, response time: 8.77ms (95%)
[  18s] threads: 32, tps: 4579.99, reads/s: 64105.87, writes/s: 0.00, response time: 8.44ms (95%)
[  19s] threads: 32, tps: 4601.01, reads/s: 64425.09, writes/s: 0.00, response time: 8.47ms (95%)
[  20s] threads: 32, tps: 4612.98, reads/s: 64560.79, writes/s: 0.00, response time: 8.45ms (95%)
[  21s] threads: 32, tps: 4627.01, reads/s: 64732.17, writes/s: 0.00, response time: 8.53ms (95%)
[  22s] threads: 32, tps: 4634.02, reads/s: 64875.26, writes/s: 0.00, response time: 8.51ms (95%)
[  23s] threads: 32, tps: 4665.93, reads/s: 65348.08, writes/s: 0.00, response time: 8.40ms (95%)
[  24s] threads: 32, tps: 4620.06, reads/s: 64696.86, writes/s: 0.00, response time: 8.28ms (95%)
[  25s] threads: 32, tps: 4622.01, reads/s: 64757.10, writes/s: 0.00, response time: 8.38ms (95%)
[  26s] threads: 32, tps: 4662.98, reads/s: 65224.70, writes/s: 0.00, response time: 8.43ms (95%)
[  27s] threads: 32, tps: 4664.94, reads/s: 65331.16, writes/s: 0.00, response time: 8.62ms (95%)
[  28s] threads: 32, tps: 4667.01, reads/s: 65363.19, writes/s: 0.00, response time: 8.63ms (95%)
[  29s] threads: 32, tps: 4682.07, reads/s: 65551.96, writes/s: 0.00, response time: 8.40ms (95%)
[  30s] threads: 32, tps: 4638.99, reads/s: 64913.87, writes/s: 0.00, response time: 8.64ms (95%)
[  31s] threads: 32, tps: 4679.00, reads/s: 65526.04, writes/s: 0.00, response time: 8.59ms (95%)
[  32s] threads: 32, tps: 4744.00, reads/s: 66417.99, writes/s: 0.00, response time: 8.14ms (95%)
[  33s] threads: 32, tps: 4759.97, reads/s: 66586.51, writes/s: 0.00, response time: 8.39ms (95%)
[  34s] threads: 32, tps: 4776.03, reads/s: 66926.44, writes/s: 0.00, response time: 8.34ms (95%)
[  35s] threads: 32, tps: 4785.97, reads/s: 66915.53, writes/s: 0.00, response time: 8.39ms (95%)
[  36s] threads: 32, tps: 4780.03, reads/s: 66943.48, writes/s: 0.00, response time: 8.45ms (95%)
[  37s] threads: 32, tps: 4765.00, reads/s: 66729.02, writes/s: 0.00, response time: 8.54ms (95%)
[  38s] threads: 32, tps: 4808.98, reads/s: 67370.79, writes/s: 0.00, response time: 8.37ms (95%)
[  39s] threads: 32, tps: 4807.98, reads/s: 67228.73, writes/s: 0.00, response time: 8.45ms (95%)
[  40s] threads: 32, tps: 4806.04, reads/s: 67354.53, writes/s: 0.00, response time: 8.39ms (95%)
[  41s] threads: 32, tps: 4825.00, reads/s: 67546.98, writes/s: 0.00, response time: 8.31ms (95%)
[  42s] threads: 32, tps: 4824.98, reads/s: 67518.74, writes/s: 0.00, response time: 8.42ms (95%)
[  43s] threads: 32, tps: 4836.01, reads/s: 67746.09, writes/s: 0.00, response time: 8.39ms (95%)
[  44s] threads: 32, tps: 4756.02, reads/s: 66491.28, writes/s: 0.00, response time: 8.65ms (95%)
[  45s] threads: 32, tps: 4784.99, reads/s: 67025.83, writes/s: 0.00, response time: 8.92ms (95%)
[  46s] threads: 32, tps: 4782.01, reads/s: 66947.08, writes/s: 0.00, response time: 8.40ms (95%)
[  47s] threads: 32, tps: 4795.86, reads/s: 67157.05, writes/s: 0.00, response time: 8.39ms (95%)
[  48s] threads: 32, tps: 4909.14, reads/s: 68752.97, writes/s: 0.00, response time: 8.18ms (95%)
[  49s] threads: 32, tps: 5133.01, reads/s: 71835.08, writes/s: 0.00, response time: 8.00ms (95%)
[  50s] threads: 32, tps: 5117.99, reads/s: 71696.92, writes/s: 0.00, response time: 7.89ms (95%)
[  51s] threads: 32, tps: 5161.99, reads/s: 72189.84, writes/s: 0.00, response time: 8.00ms (95%)
[  52s] threads: 32, tps: 4939.00, reads/s: 69209.05, writes/s: 0.00, response time: 8.36ms (95%)
[  53s] threads: 32, tps: 4782.01, reads/s: 66942.14, writes/s: 0.00, response time: 9.37ms (95%)
[  54s] threads: 32, tps: 4844.00, reads/s: 67775.00, writes/s: 0.00, response time: 8.31ms (95%)
[  55s] threads: 32, tps: 4875.01, reads/s: 68284.08, writes/s: 0.00, response time: 8.39ms (95%)
[  56s] threads: 32, tps: 4873.99, reads/s: 68233.87, writes/s: 0.00, response time: 8.30ms (95%)
[  57s] threads: 32, tps: 4885.00, reads/s: 68360.01, writes/s: 0.00, response time: 8.37ms (95%)
[  58s] threads: 32, tps: 4891.00, reads/s: 68518.99, writes/s: 0.00, response time: 8.36ms (95%)
[  59s] threads: 32, tps: 4872.99, reads/s: 68213.87, writes/s: 0.00, response time: 8.34ms (95%)
[  60s] threads: 32, tps: 4906.02, reads/s: 68671.25, writes/s: 0.00, response time: 8.33ms (95%)
[  61s] threads: 32, tps: 4898.98, reads/s: 68547.78, writes/s: 0.00, response time: 8.34ms (95%)
[  62s] threads: 32, tps: 4898.01, reads/s: 68603.09, writes/s: 0.00, response time: 8.40ms (95%)
[  63s] threads: 32, tps: 4893.00, reads/s: 68487.06, writes/s: 0.00, response time: 8.37ms (95%)
[  64s] threads: 32, tps: 4860.00, reads/s: 68073.00, writes/s: 0.00, response time: 8.24ms (95%)
[  65s] threads: 32, tps: 4821.00, reads/s: 67492.01, writes/s: 0.00, response time: 8.37ms (95%)
[  66s] threads: 32, tps: 4778.98, reads/s: 66930.78, writes/s: 0.00, response time: 8.25ms (95%)
[  67s] threads: 32, tps: 4842.00, reads/s: 67787.02, writes/s: 0.00, response time: 8.31ms (95%)
[  68s] threads: 32, tps: 4968.01, reads/s: 69554.18, writes/s: 0.00, response time: 8.07ms (95%)
[  69s] threads: 32, tps: 5014.01, reads/s: 70160.19, writes/s: 0.00, response time: 7.99ms (95%)
[  70s] threads: 32, tps: 5004.99, reads/s: 70074.81, writes/s: 0.00, response time: 8.09ms (95%)
[  71s] threads: 32, tps: 5010.00, reads/s: 70125.95, writes/s: 0.00, response time: 8.14ms (95%)
[  72s] threads: 32, tps: 4871.01, reads/s: 68220.11, writes/s: 0.00, response time: 8.23ms (95%)
[  73s] threads: 32, tps: 4871.00, reads/s: 68130.98, writes/s: 0.00, response time: 8.35ms (95%)
[  74s] threads: 32, tps: 4922.97, reads/s: 68946.65, writes/s: 0.00, response time: 8.11ms (95%)
[  75s] threads: 32, tps: 4940.02, reads/s: 69172.22, writes/s: 0.00, response time: 8.10ms (95%)
[  76s] threads: 32, tps: 4939.00, reads/s: 69155.97, writes/s: 0.00, response time: 8.15ms (95%)
[  77s] threads: 32, tps: 4949.02, reads/s: 69256.33, writes/s: 0.00, response time: 8.09ms (95%)
[  78s] threads: 32, tps: 4946.98, reads/s: 69268.70, writes/s: 0.00, response time: 8.10ms (95%)
[  79s] threads: 32, tps: 4954.00, reads/s: 69402.93, writes/s: 0.00, response time: 8.07ms (95%)
[  80s] threads: 32, tps: 4963.02, reads/s: 69450.25, writes/s: 0.00, response time: 8.10ms (95%)
[  81s] threads: 32, tps: 4953.00, reads/s: 69350.93, writes/s: 0.00, response time: 8.14ms (95%)
[  82s] threads: 32, tps: 4963.99, reads/s: 69540.84, writes/s: 0.00, response time: 8.11ms (95%)
[  83s] threads: 32, tps: 4971.01, reads/s: 69506.15, writes/s: 0.00, response time: 8.10ms (95%)
[  84s] threads: 32, tps: 4967.00, reads/s: 69565.99, writes/s: 0.00, response time: 8.17ms (95%)
[  85s] threads: 32, tps: 4950.01, reads/s: 69326.09, writes/s: 0.00, response time: 8.24ms (95%)
[  86s] threads: 32, tps: 4925.99, reads/s: 68927.80, writes/s: 0.00, response time: 8.39ms (95%)
[  87s] threads: 32, tps: 4896.01, reads/s: 68503.13, writes/s: 0.00, response time: 8.22ms (95%)
[  88s] threads: 32, tps: 4972.00, reads/s: 69679.98, writes/s: 0.00, response time: 8.05ms (95%)
[  89s] threads: 32, tps: 4880.00, reads/s: 68304.04, writes/s: 0.00, response time: 8.39ms (95%)
[  90s] threads: 32, tps: 4849.00, reads/s: 67883.95, writes/s: 0.00, response time: 8.29ms (95%)
[  91s] threads: 32, tps: 4877.00, reads/s: 68245.05, writes/s: 0.00, response time: 8.44ms (95%)
[  92s] threads: 32, tps: 4877.98, reads/s: 68341.76, writes/s: 0.00, response time: 8.26ms (95%)
[  93s] threads: 32, tps: 4853.02, reads/s: 67951.28, writes/s: 0.00, response time: 7.89ms (95%)
[  94s] threads: 32, tps: 4907.00, reads/s: 68678.94, writes/s: 0.00, response time: 8.33ms (95%)
[  95s] threads: 32, tps: 4918.97, reads/s: 68872.59, writes/s: 0.00, response time: 8.40ms (95%)
[  96s] threads: 32, tps: 4924.03, reads/s: 68928.47, writes/s: 0.00, response time: 8.34ms (95%)
[  97s] threads: 32, tps: 4906.00, reads/s: 68694.98, writes/s: 0.00, response time: 8.37ms (95%)
[  98s] threads: 32, tps: 4921.99, reads/s: 68871.84, writes/s: 0.00, response time: 8.29ms (95%)
[  99s] threads: 32, tps: 4916.01, reads/s: 68862.15, writes/s: 0.00, response time: 8.38ms (95%)
[ 100s] threads: 32, tps: 4927.99, reads/s: 69003.86, writes/s: 0.00, response time: 8.35ms (95%)
[ 101s] threads: 32, tps: 4906.01, reads/s: 68699.17, writes/s: 0.00, response time: 8.37ms (95%)
[ 102s] threads: 32, tps: 4924.99, reads/s: 68889.80, writes/s: 0.00, response time: 8.32ms (95%)
[ 103s] threads: 32, tps: 4919.00, reads/s: 68882.02, writes/s: 0.00, response time: 8.34ms (95%)
[ 104s] threads: 32, tps: 4788.00, reads/s: 67038.05, writes/s: 0.00, response time: 8.82ms (95%)
[ 105s] threads: 32, tps: 4803.00, reads/s: 67235.06, writes/s: 0.00, response time: 11.41ms (95%)
[ 106s] threads: 32, tps: 4871.95, reads/s: 68210.25, writes/s: 0.00, response time: 8.39ms (95%)
[ 107s] threads: 32, tps: 4809.04, reads/s: 67295.52, writes/s: 0.00, response time: 9.33ms (95%)
