sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 128.08, reads/s: 1794.15, writes/s: 512.33, response time: 9.61ms (95%)
[   2s] threads: 1, tps: 151.00, reads/s: 2123.01, writes/s: 604.00, response time: 8.74ms (95%)
[   3s] threads: 1, tps: 161.00, reads/s: 2257.01, writes/s: 644.00, response time: 7.21ms (95%)
[   4s] threads: 1, tps: 168.00, reads/s: 2351.00, writes/s: 672.00, response time: 6.83ms (95%)
[   5s] threads: 1, tps: 172.00, reads/s: 2397.00, writes/s: 688.00, response time: 6.68ms (95%)
[   6s] threads: 1, tps: 173.00, reads/s: 2429.00, writes/s: 692.00, response time: 6.44ms (95%)
[   7s] threads: 1, tps: 177.00, reads/s: 2476.01, writes/s: 708.00, response time: 6.36ms (95%)
[   8s] threads: 1, tps: 178.00, reads/s: 2498.99, writes/s: 712.00, response time: 6.35ms (95%)
[   9s] threads: 1, tps: 180.00, reads/s: 2518.01, writes/s: 720.00, response time: 6.38ms (95%)
[  10s] threads: 1, tps: 184.00, reads/s: 2569.00, writes/s: 736.00, response time: 6.32ms (95%)
[  11s] threads: 1, tps: 183.00, reads/s: 2570.00, writes/s: 732.00, response time: 6.04ms (95%)
[  12s] threads: 1, tps: 184.00, reads/s: 2577.99, writes/s: 738.00, response time: 6.21ms (95%)
[  13s] threads: 1, tps: 188.00, reads/s: 2632.01, writes/s: 752.00, response time: 5.93ms (95%)
[  14s] threads: 1, tps: 189.00, reads/s: 2635.99, writes/s: 754.00, response time: 6.04ms (95%)
[  15s] threads: 1, tps: 187.00, reads/s: 2619.01, writes/s: 748.00, response time: 6.04ms (95%)
[  16s] threads: 1, tps: 188.00, reads/s: 2636.99, writes/s: 752.00, response time: 5.84ms (95%)
[  17s] threads: 1, tps: 190.00, reads/s: 2661.00, writes/s: 760.00, response time: 5.92ms (95%)
[  18s] threads: 1, tps: 191.00, reads/s: 2677.00, writes/s: 764.00, response time: 5.85ms (95%)
[  19s] threads: 1, tps: 193.00, reads/s: 2702.01, writes/s: 774.00, response time: 5.85ms (95%)
