sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 512, tps: 4934.28, reads/s: 71927.49, writes/s: 0.00, response time: 119.39ms (95%)
[   2s] threads: 512, tps: 6471.22, reads/s: 91718.06, writes/s: 0.00, response time: 120.69ms (95%)
[   3s] threads: 512, tps: 7100.53, reads/s: 99529.42, writes/s: 0.00, response time: 128.75ms (95%)
[   4s] threads: 512, tps: 7451.45, reads/s: 104291.31, writes/s: 0.00, response time: 113.54ms (95%)
[   5s] threads: 512, tps: 7789.58, reads/s: 109134.06, writes/s: 0.00, response time: 106.56ms (95%)
[   6s] threads: 512, tps: 8084.56, reads/s: 113117.84, writes/s: 0.00, response time: 108.55ms (95%)
[   7s] threads: 512, tps: 8272.99, reads/s: 115866.81, writes/s: 0.00, response time: 120.87ms (95%)
[   8s] threads: 512, tps: 8348.83, reads/s: 116743.64, writes/s: 0.00, response time: 103.11ms (95%)
[   9s] threads: 512, tps: 8580.16, reads/s: 120201.17, writes/s: 0.00, response time: 101.03ms (95%)
[  10s] threads: 512, tps: 8713.64, reads/s: 121972.02, writes/s: 0.00, response time: 101.45ms (95%)
[  11s] threads: 512, tps: 8887.97, reads/s: 124554.61, writes/s: 0.00, response time: 96.13ms (95%)
[  12s] threads: 512, tps: 9116.37, reads/s: 127559.14, writes/s: 0.00, response time: 95.44ms (95%)
[  13s] threads: 512, tps: 9306.05, reads/s: 130217.64, writes/s: 0.00, response time: 92.66ms (95%)
[  14s] threads: 512, tps: 9311.85, reads/s: 130309.87, writes/s: 0.00, response time: 92.79ms (95%)
[  15s] threads: 512, tps: 9326.15, reads/s: 130456.07, writes/s: 0.00, response time: 93.66ms (95%)
[  16s] threads: 512, tps: 9278.81, reads/s: 130078.39, writes/s: 0.00, response time: 97.11ms (95%)
[  17s] threads: 512, tps: 9207.19, reads/s: 129315.70, writes/s: 0.00, response time: 97.78ms (95%)
[  18s] threads: 512, tps: 9264.99, reads/s: 129401.81, writes/s: 0.00, response time: 94.65ms (95%)
[  19s] threads: 512, tps: 9372.95, reads/s: 131211.30, writes/s: 0.00, response time: 93.27ms (95%)
[  20s] threads: 512, tps: 9471.90, reads/s: 133158.58, writes/s: 0.00, response time: 91.61ms (95%)
[  21s] threads: 512, tps: 9428.99, reads/s: 131130.85, writes/s: 0.00, response time: 97.58ms (95%)
[  22s] threads: 512, tps: 9538.16, reads/s: 134059.31, writes/s: 0.00, response time: 98.22ms (95%)
[  23s] threads: 512, tps: 9594.99, reads/s: 134791.85, writes/s: 0.00, response time: 98.25ms (95%)
[  24s] threads: 512, tps: 9564.01, reads/s: 133247.13, writes/s: 0.00, response time: 99.59ms (95%)
[  25s] threads: 512, tps: 9591.99, reads/s: 134841.81, writes/s: 0.00, response time: 94.50ms (95%)
[  26s] threads: 512, tps: 9681.94, reads/s: 135301.10, writes/s: 0.00, response time: 98.43ms (95%)
[  27s] threads: 512, tps: 9770.10, reads/s: 136476.37, writes/s: 0.00, response time: 101.97ms (95%)
[  28s] threads: 512, tps: 9779.54, reads/s: 137046.57, writes/s: 0.00, response time: 120.22ms (95%)
[  29s] threads: 512, tps: 9759.50, reads/s: 136765.94, writes/s: 0.00, response time: 119.47ms (95%)
[  30s] threads: 512, tps: 9796.77, reads/s: 136775.83, writes/s: 0.00, response time: 103.20ms (95%)
[  31s] threads: 512, tps: 9717.20, reads/s: 136985.79, writes/s: 0.00, response time: 99.17ms (95%)
[  32s] threads: 512, tps: 9765.00, reads/s: 136596.96, writes/s: 0.00, response time: 78.24ms (95%)
[  33s] threads: 512, tps: 9837.96, reads/s: 136937.39, writes/s: 0.00, response time: 96.02ms (95%)
[  34s] threads: 512, tps: 9760.99, reads/s: 137279.80, writes/s: 0.00, response time: 98.81ms (95%)
[  35s] threads: 512, tps: 9895.76, reads/s: 137684.61, writes/s: 0.00, response time: 86.59ms (95%)
[  36s] threads: 512, tps: 9789.59, reads/s: 138063.16, writes/s: 0.00, response time: 85.59ms (95%)
[  37s] threads: 512, tps: 9965.72, reads/s: 139357.02, writes/s: 0.00, response time: 99.38ms (95%)
