sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1024, tps: 4494.23, reads/s: 71145.82, writes/s: 0.00, response time: 320.90ms (95%)
[   2s] threads: 1024, tps: 6199.30, reads/s: 86864.15, writes/s: 0.00, response time: 263.14ms (95%)
[   3s] threads: 1024, tps: 6672.93, reads/s: 93172.06, writes/s: 0.00, response time: 269.68ms (95%)
[   4s] threads: 1024, tps: 6918.88, reads/s: 96982.29, writes/s: 0.00, response time: 257.45ms (95%)
[   5s] threads: 1024, tps: 7251.09, reads/s: 101427.31, writes/s: 0.00, response time: 244.38ms (95%)
[   6s] threads: 1024, tps: 7475.12, reads/s: 104698.73, writes/s: 0.00, response time: 243.58ms (95%)
[   7s] threads: 1024, tps: 7875.85, reads/s: 109947.84, writes/s: 0.00, response time: 236.40ms (95%)
[   8s] threads: 1024, tps: 8010.10, reads/s: 112469.42, writes/s: 0.00, response time: 222.06ms (95%)
[   9s] threads: 1024, tps: 8387.36, reads/s: 117414.03, writes/s: 0.00, response time: 209.72ms (95%)
[  10s] threads: 1024, tps: 8316.53, reads/s: 116297.43, writes/s: 0.00, response time: 207.85ms (95%)
[  11s] threads: 1024, tps: 8540.09, reads/s: 119795.21, writes/s: 0.00, response time: 229.36ms (95%)
[  12s] threads: 1024, tps: 8732.06, reads/s: 122173.86, writes/s: 0.00, response time: 234.00ms (95%)
[  13s] threads: 1024, tps: 8867.43, reads/s: 124142.02, writes/s: 0.00, response time: 217.78ms (95%)
[  14s] threads: 1024, tps: 9160.54, reads/s: 128124.57, writes/s: 0.00, response time: 200.87ms (95%)
[  15s] threads: 1024, tps: 9061.78, reads/s: 126954.92, writes/s: 0.00, response time: 209.47ms (95%)
[  16s] threads: 1024, tps: 9119.02, reads/s: 127564.34, writes/s: 0.00, response time: 201.48ms (95%)
[  17s] threads: 1024, tps: 9177.78, reads/s: 128458.86, writes/s: 0.00, response time: 195.36ms (95%)
[  18s] threads: 1024, tps: 9315.44, reads/s: 130599.12, writes/s: 0.00, response time: 202.81ms (95%)
[  19s] threads: 1024, tps: 9480.02, reads/s: 132425.33, writes/s: 0.00, response time: 196.71ms (95%)
[  20s] threads: 1024, tps: 9540.16, reads/s: 133995.28, writes/s: 0.00, response time: 189.54ms (95%)
[  21s] threads: 1024, tps: 9459.57, reads/s: 132200.95, writes/s: 0.00, response time: 185.50ms (95%)
[  22s] threads: 1024, tps: 9624.27, reads/s: 134005.77, writes/s: 0.00, response time: 185.00ms (95%)
[  23s] threads: 1024, tps: 9786.94, reads/s: 137478.12, writes/s: 0.00, response time: 210.73ms (95%)
[  24s] threads: 1024, tps: 9568.20, reads/s: 134314.72, writes/s: 0.00, response time: 190.00ms (95%)
[  25s] threads: 1024, tps: 9780.86, reads/s: 136949.04, writes/s: 0.00, response time: 186.95ms (95%)
[  26s] threads: 1024, tps: 9793.95, reads/s: 137220.31, writes/s: 0.00, response time: 205.68ms (95%)
