sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 8, tps: 1098.04, reads/s: 15442.61, writes/s: 0.00, response time: 10.17ms (95%)
[   2s] threads: 8, tps: 1307.05, reads/s: 18303.74, writes/s: 0.00, response time: 7.37ms (95%)
[   3s] threads: 8, tps: 1403.00, reads/s: 19625.99, writes/s: 0.00, response time: 6.84ms (95%)
[   4s] threads: 8, tps: 1433.00, reads/s: 20061.03, writes/s: 0.00, response time: 6.71ms (95%)
[   5s] threads: 8, tps: 1454.99, reads/s: 20374.84, writes/s: 0.00, response time: 6.64ms (95%)
[   6s] threads: 8, tps: 1477.01, reads/s: 20665.16, writes/s: 0.00, response time: 6.51ms (95%)
[   7s] threads: 8, tps: 1480.99, reads/s: 20750.88, writes/s: 0.00, response time: 6.56ms (95%)
[   8s] threads: 8, tps: 1522.01, reads/s: 21282.12, writes/s: 0.00, response time: 6.38ms (95%)
[   9s] threads: 8, tps: 1540.00, reads/s: 21582.01, writes/s: 0.00, response time: 6.25ms (95%)
[  10s] threads: 8, tps: 1551.99, reads/s: 21733.89, writes/s: 0.00, response time: 6.18ms (95%)
[  11s] threads: 8, tps: 1577.00, reads/s: 22059.02, writes/s: 0.00, response time: 6.05ms (95%)
[  12s] threads: 8, tps: 1568.01, reads/s: 21987.10, writes/s: 0.00, response time: 6.22ms (95%)
[  13s] threads: 8, tps: 1575.00, reads/s: 22041.99, writes/s: 0.00, response time: 6.11ms (95%)
[  14s] threads: 8, tps: 1589.99, reads/s: 22252.84, writes/s: 0.00, response time: 6.12ms (95%)
[  15s] threads: 8, tps: 1594.01, reads/s: 22320.08, writes/s: 0.00, response time: 6.01ms (95%)
[  16s] threads: 8, tps: 1554.95, reads/s: 21751.24, writes/s: 0.00, response time: 6.25ms (95%)
[  17s] threads: 8, tps: 1090.03, reads/s: 15280.41, writes/s: 0.00, response time: 14.29ms (95%)
[  18s] threads: 8, tps: 1607.97, reads/s: 22507.64, writes/s: 0.00, response time: 6.04ms (95%)
[  19s] threads: 8, tps: 1617.96, reads/s: 22645.50, writes/s: 0.00, response time: 6.00ms (95%)
[  20s] threads: 8, tps: 1619.08, reads/s: 22660.13, writes/s: 0.00, response time: 5.90ms (95%)
[  21s] threads: 8, tps: 1631.00, reads/s: 22826.01, writes/s: 0.00, response time: 6.01ms (95%)
[  22s] threads: 8, tps: 1634.99, reads/s: 22897.85, writes/s: 0.00, response time: 5.89ms (95%)
[  23s] threads: 8, tps: 1624.00, reads/s: 22737.02, writes/s: 0.00, response time: 6.06ms (95%)
[  24s] threads: 8, tps: 1631.01, reads/s: 22826.12, writes/s: 0.00, response time: 5.94ms (95%)
[  25s] threads: 8, tps: 1623.99, reads/s: 22735.87, writes/s: 0.00, response time: 5.93ms (95%)
[  26s] threads: 8, tps: 1621.00, reads/s: 22701.07, writes/s: 0.00, response time: 6.00ms (95%)
[  27s] threads: 8, tps: 1628.00, reads/s: 22802.03, writes/s: 0.00, response time: 5.93ms (95%)
[  28s] threads: 8, tps: 1664.00, reads/s: 23307.02, writes/s: 0.00, response time: 5.81ms (95%)
[  29s] threads: 8, tps: 1671.99, reads/s: 23404.81, writes/s: 0.00, response time: 5.83ms (95%)
[  30s] threads: 8, tps: 1660.01, reads/s: 23243.20, writes/s: 0.00, response time: 5.86ms (95%)
[  31s] threads: 8, tps: 1671.99, reads/s: 23398.88, writes/s: 0.00, response time: 5.80ms (95%)
[  32s] threads: 8, tps: 1678.01, reads/s: 23492.12, writes/s: 0.00, response time: 5.80ms (95%)
[  33s] threads: 8, tps: 1135.97, reads/s: 15906.56, writes/s: 0.00, response time: 14.21ms (95%)
[  34s] threads: 8, tps: 1616.05, reads/s: 22617.63, writes/s: 0.00, response time: 6.18ms (95%)
[  35s] threads: 8, tps: 1695.00, reads/s: 23723.98, writes/s: 0.00, response time: 5.71ms (95%)
[  36s] threads: 8, tps: 1694.99, reads/s: 23735.87, writes/s: 0.00, response time: 5.75ms (95%)
[  37s] threads: 8, tps: 1704.01, reads/s: 23848.16, writes/s: 0.00, response time: 5.74ms (95%)
[  38s] threads: 8, tps: 1698.99, reads/s: 23785.81, writes/s: 0.00, response time: 5.71ms (95%)
[  39s] threads: 8, tps: 1708.00, reads/s: 23914.03, writes/s: 0.00, response time: 5.71ms (95%)
[  40s] threads: 8, tps: 1709.00, reads/s: 23929.04, writes/s: 0.00, response time: 5.68ms (95%)
[  41s] threads: 8, tps: 1718.76, reads/s: 24070.59, writes/s: 0.00, response time: 5.68ms (95%)
[  42s] threads: 8, tps: 1730.25, reads/s: 24209.53, writes/s: 0.00, response time: 5.65ms (95%)
[  43s] threads: 8, tps: 1722.99, reads/s: 24144.85, writes/s: 0.00, response time: 5.68ms (95%)
[  44s] threads: 8, tps: 1730.01, reads/s: 24197.17, writes/s: 0.00, response time: 5.61ms (95%)
[  45s] threads: 8, tps: 1741.00, reads/s: 24366.99, writes/s: 0.00, response time: 5.57ms (95%)
[  46s] threads: 8, tps: 1738.00, reads/s: 24334.96, writes/s: 0.00, response time: 5.66ms (95%)
[  47s] threads: 8, tps: 1735.00, reads/s: 24313.04, writes/s: 0.00, response time: 5.63ms (95%)
[  48s] threads: 8, tps: 1740.00, reads/s: 24359.98, writes/s: 0.00, response time: 5.65ms (95%)
[  49s] threads: 8, tps: 1742.00, reads/s: 24367.03, writes/s: 0.00, response time: 5.63ms (95%)
[  50s] threads: 8, tps: 1758.00, reads/s: 24633.00, writes/s: 0.00, response time: 5.55ms (95%)
[  51s] threads: 8, tps: 1758.00, reads/s: 24578.01, writes/s: 0.00, response time: 5.55ms (95%)
[  52s] threads: 8, tps: 1748.99, reads/s: 24518.82, writes/s: 0.00, response time: 5.59ms (95%)
[  53s] threads: 8, tps: 1181.99, reads/s: 16532.90, writes/s: 0.00, response time: 12.96ms (95%)
[  54s] threads: 8, tps: 1730.01, reads/s: 24214.16, writes/s: 0.00, response time: 5.59ms (95%)
[  55s] threads: 8, tps: 1763.00, reads/s: 24690.02, writes/s: 0.00, response time: 5.51ms (95%)
[  56s] threads: 8, tps: 1756.01, reads/s: 24579.12, writes/s: 0.00, response time: 5.59ms (95%)
[  57s] threads: 8, tps: 1762.00, reads/s: 24692.00, writes/s: 0.00, response time: 5.54ms (95%)
[  58s] threads: 8, tps: 1741.99, reads/s: 24383.88, writes/s: 0.00, response time: 5.67ms (95%)
[  59s] threads: 8, tps: 1772.01, reads/s: 24795.11, writes/s: 0.00, response time: 5.56ms (95%)
[  60s] threads: 8, tps: 1777.00, reads/s: 24865.93, writes/s: 0.00, response time: 5.52ms (95%)
[  61s] threads: 8, tps: 1778.99, reads/s: 24916.91, writes/s: 0.00, response time: 5.45ms (95%)
[  62s] threads: 8, tps: 1788.01, reads/s: 25037.10, writes/s: 0.00, response time: 5.51ms (95%)
[  63s] threads: 8, tps: 1770.93, reads/s: 24797.06, writes/s: 0.00, response time: 5.50ms (95%)
[  64s] threads: 8, tps: 1783.06, reads/s: 24970.80, writes/s: 0.00, response time: 5.47ms (95%)
[  65s] threads: 8, tps: 1797.01, reads/s: 25121.20, writes/s: 0.00, response time: 5.45ms (95%)
[  66s] threads: 8, tps: 1791.00, reads/s: 25095.96, writes/s: 0.00, response time: 5.42ms (95%)
[  67s] threads: 8, tps: 1797.99, reads/s: 25157.91, writes/s: 0.00, response time: 5.44ms (95%)
[  68s] threads: 8, tps: 1796.00, reads/s: 25137.06, writes/s: 0.00, response time: 5.44ms (95%)
[  69s] threads: 8, tps: 1785.00, reads/s: 24995.05, writes/s: 0.00, response time: 5.47ms (95%)
[  70s] threads: 8, tps: 1787.99, reads/s: 25051.84, writes/s: 0.00, response time: 5.48ms (95%)
[  71s] threads: 8, tps: 1779.01, reads/s: 24897.13, writes/s: 0.00, response time: 5.55ms (95%)
[  72s] threads: 8, tps: 1210.00, reads/s: 16925.00, writes/s: 0.00, response time: 12.66ms (95%)
[  73s] threads: 8, tps: 1802.00, reads/s: 25241.98, writes/s: 0.00, response time: 5.38ms (95%)
[  74s] threads: 8, tps: 1805.00, reads/s: 25261.03, writes/s: 0.00, response time: 5.42ms (95%)
[  75s] threads: 8, tps: 1809.00, reads/s: 25343.03, writes/s: 0.00, response time: 5.47ms (95%)
[  76s] threads: 8, tps: 1811.00, reads/s: 25334.98, writes/s: 0.00, response time: 5.42ms (95%)
[  77s] threads: 8, tps: 1814.00, reads/s: 25408.02, writes/s: 0.00, response time: 5.39ms (95%)
[  78s] threads: 8, tps: 1821.99, reads/s: 25514.86, writes/s: 0.00, response time: 5.37ms (95%)
[  79s] threads: 8, tps: 1831.00, reads/s: 25609.00, writes/s: 0.00, response time: 5.37ms (95%)
[  80s] threads: 8, tps: 1823.01, reads/s: 25557.14, writes/s: 0.00, response time: 5.39ms (95%)
[  81s] threads: 8, tps: 1823.99, reads/s: 25532.82, writes/s: 0.00, response time: 5.39ms (95%)
[  82s] threads: 8, tps: 1301.01, reads/s: 18199.12, writes/s: 0.00, response time: 12.23ms (95%)
[  83s] threads: 8, tps: 1754.00, reads/s: 24587.01, writes/s: 0.00, response time: 5.62ms (95%)
[  84s] threads: 8, tps: 1826.99, reads/s: 25576.86, writes/s: 0.00, response time: 5.39ms (95%)
[  85s] threads: 8, tps: 1829.01, reads/s: 25573.13, writes/s: 0.00, response time: 5.41ms (95%)
[  86s] threads: 8, tps: 1828.99, reads/s: 25612.87, writes/s: 0.00, response time: 5.34ms (95%)
[  87s] threads: 8, tps: 1828.01, reads/s: 25594.14, writes/s: 0.00, response time: 5.37ms (95%)
[  88s] threads: 8, tps: 1830.00, reads/s: 25604.99, writes/s: 0.00, response time: 5.39ms (95%)
[  89s] threads: 8, tps: 1832.99, reads/s: 25670.80, writes/s: 0.00, response time: 5.31ms (95%)
[  90s] threads: 8, tps: 1828.00, reads/s: 25594.04, writes/s: 0.00, response time: 5.38ms (95%)
