sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 16, tps: 2256.87, reads/s: 31736.30, writes/s: 0.00, response time: 9.79ms (95%)
[   2s] threads: 16, tps: 2622.03, reads/s: 36729.36, writes/s: 0.00, response time: 7.79ms (95%)
[   3s] threads: 16, tps: 2858.01, reads/s: 39973.19, writes/s: 0.00, response time: 6.91ms (95%)
[   4s] threads: 16, tps: 2977.00, reads/s: 41668.00, writes/s: 0.00, response time: 6.57ms (95%)
[   5s] threads: 16, tps: 3058.99, reads/s: 42816.87, writes/s: 0.00, response time: 6.24ms (95%)
[   6s] threads: 16, tps: 3096.99, reads/s: 43388.84, writes/s: 0.00, response time: 6.28ms (95%)
[   7s] threads: 16, tps: 3117.02, reads/s: 43630.21, writes/s: 0.00, response time: 6.30ms (95%)
[   8s] threads: 16, tps: 3036.97, reads/s: 42524.62, writes/s: 0.00, response time: 6.61ms (95%)
[   9s] threads: 16, tps: 3179.03, reads/s: 44461.44, writes/s: 0.00, response time: 6.09ms (95%)
[  10s] threads: 16, tps: 3224.01, reads/s: 45205.09, writes/s: 0.00, response time: 6.03ms (95%)
[  11s] threads: 16, tps: 3222.00, reads/s: 45037.96, writes/s: 0.00, response time: 6.09ms (95%)
[  12s] threads: 16, tps: 3252.99, reads/s: 45576.85, writes/s: 0.00, response time: 6.03ms (95%)
[  13s] threads: 16, tps: 3266.01, reads/s: 45751.10, writes/s: 0.00, response time: 5.94ms (95%)
[  14s] threads: 16, tps: 3316.99, reads/s: 46424.89, writes/s: 0.00, response time: 5.86ms (95%)
[  15s] threads: 16, tps: 3318.01, reads/s: 46432.15, writes/s: 0.00, response time: 5.83ms (95%)
[  16s] threads: 16, tps: 3329.99, reads/s: 46646.92, writes/s: 0.00, response time: 5.82ms (95%)
[  17s] threads: 16, tps: 3342.00, reads/s: 46773.98, writes/s: 0.00, response time: 5.87ms (95%)
[  18s] threads: 16, tps: 3326.99, reads/s: 46591.89, writes/s: 0.00, response time: 5.85ms (95%)
[  19s] threads: 16, tps: 3303.02, reads/s: 46274.21, writes/s: 0.00, response time: 6.01ms (95%)
[  20s] threads: 16, tps: 3317.99, reads/s: 46402.92, writes/s: 0.00, response time: 5.95ms (95%)
[  21s] threads: 16, tps: 3398.01, reads/s: 47549.13, writes/s: 0.00, response time: 5.68ms (95%)
[  22s] threads: 16, tps: 3419.00, reads/s: 47873.95, writes/s: 0.00, response time: 5.64ms (95%)
[  23s] threads: 16, tps: 3414.99, reads/s: 47850.89, writes/s: 0.00, response time: 5.63ms (95%)
[  24s] threads: 16, tps: 3434.01, reads/s: 48090.09, writes/s: 0.00, response time: 5.61ms (95%)
[  25s] threads: 16, tps: 3468.00, reads/s: 48519.02, writes/s: 0.00, response time: 5.47ms (95%)
[  26s] threads: 16, tps: 3457.99, reads/s: 48407.93, writes/s: 0.00, response time: 5.54ms (95%)
[  27s] threads: 16, tps: 3473.00, reads/s: 48617.07, writes/s: 0.00, response time: 5.50ms (95%)
[  28s] threads: 16, tps: 3449.00, reads/s: 48271.93, writes/s: 0.00, response time: 5.64ms (95%)
[  29s] threads: 16, tps: 3510.00, reads/s: 49139.02, writes/s: 0.00, response time: 5.38ms (95%)
[  30s] threads: 16, tps: 3447.99, reads/s: 48299.86, writes/s: 0.00, response time: 5.69ms (95%)
[  31s] threads: 16, tps: 3524.01, reads/s: 49324.17, writes/s: 0.00, response time: 5.45ms (95%)
[  32s] threads: 16, tps: 3508.99, reads/s: 49132.92, writes/s: 0.00, response time: 5.54ms (95%)
[  33s] threads: 16, tps: 3476.00, reads/s: 48658.97, writes/s: 0.00, response time: 5.67ms (95%)
[  34s] threads: 16, tps: 3445.00, reads/s: 48219.98, writes/s: 0.00, response time: 5.78ms (95%)
[  35s] threads: 16, tps: 3521.00, reads/s: 49312.99, writes/s: 0.00, response time: 5.57ms (95%)
[  36s] threads: 16, tps: 3510.00, reads/s: 49118.02, writes/s: 0.00, response time: 5.58ms (95%)
[  37s] threads: 16, tps: 3476.00, reads/s: 48680.03, writes/s: 0.00, response time: 5.70ms (95%)
[  38s] threads: 16, tps: 3520.00, reads/s: 49306.02, writes/s: 0.00, response time: 5.53ms (95%)
[  39s] threads: 16, tps: 3553.00, reads/s: 49722.07, writes/s: 0.00, response time: 5.47ms (95%)
[  40s] threads: 16, tps: 3558.99, reads/s: 49815.82, writes/s: 0.00, response time: 5.56ms (95%)
[  41s] threads: 16, tps: 3556.00, reads/s: 49775.96, writes/s: 0.00, response time: 5.43ms (95%)
[  42s] threads: 16, tps: 3513.01, reads/s: 49175.07, writes/s: 0.00, response time: 5.74ms (95%)
[  43s] threads: 16, tps: 3449.00, reads/s: 48288.99, writes/s: 0.00, response time: 5.90ms (95%)
[  44s] threads: 16, tps: 3588.01, reads/s: 50231.14, writes/s: 0.00, response time: 5.32ms (95%)
[  45s] threads: 16, tps: 3581.99, reads/s: 50144.84, writes/s: 0.00, response time: 5.39ms (95%)
[  46s] threads: 16, tps: 3579.01, reads/s: 50110.18, writes/s: 0.00, response time: 5.46ms (95%)
[  47s] threads: 16, tps: 3535.00, reads/s: 49510.98, writes/s: 0.00, response time: 5.67ms (95%)
[  48s] threads: 16, tps: 3583.00, reads/s: 50154.97, writes/s: 0.00, response time: 5.47ms (95%)
[  49s] threads: 16, tps: 3626.00, reads/s: 50768.04, writes/s: 0.00, response time: 5.33ms (95%)
[  50s] threads: 16, tps: 3624.00, reads/s: 50730.01, writes/s: 0.00, response time: 5.36ms (95%)
[  51s] threads: 16, tps: 3639.00, reads/s: 50969.96, writes/s: 0.00, response time: 5.30ms (95%)
[  52s] threads: 16, tps: 3613.00, reads/s: 50552.07, writes/s: 0.00, response time: 5.41ms (95%)
[  53s] threads: 16, tps: 3639.00, reads/s: 50935.00, writes/s: 0.00, response time: 5.39ms (95%)
[  54s] threads: 16, tps: 3606.00, reads/s: 50519.97, writes/s: 0.00, response time: 5.42ms (95%)
[  55s] threads: 16, tps: 3657.99, reads/s: 51198.87, writes/s: 0.00, response time: 5.23ms (95%)
[  56s] threads: 16, tps: 3653.00, reads/s: 51144.00, writes/s: 0.00, response time: 5.32ms (95%)
[  57s] threads: 16, tps: 3704.01, reads/s: 51822.15, writes/s: 0.00, response time: 5.16ms (95%)
[  58s] threads: 16, tps: 3632.00, reads/s: 50875.93, writes/s: 0.00, response time: 5.49ms (95%)
[  59s] threads: 16, tps: 3692.01, reads/s: 51685.11, writes/s: 0.00, response time: 5.14ms (95%)
[  60s] threads: 16, tps: 3664.99, reads/s: 51298.88, writes/s: 0.00, response time: 5.25ms (95%)
[  61s] threads: 16, tps: 3695.01, reads/s: 51745.11, writes/s: 0.00, response time: 5.19ms (95%)
[  62s] threads: 16, tps: 3638.99, reads/s: 50934.79, writes/s: 0.00, response time: 5.52ms (95%)
[  63s] threads: 16, tps: 3726.00, reads/s: 52168.03, writes/s: 0.00, response time: 5.04ms (95%)
[  64s] threads: 16, tps: 3689.98, reads/s: 51679.72, writes/s: 0.00, response time: 5.32ms (95%)
[  65s] threads: 16, tps: 3718.01, reads/s: 52073.13, writes/s: 0.00, response time: 5.20ms (95%)
[  66s] threads: 16, tps: 3703.01, reads/s: 51830.14, writes/s: 0.00, response time: 5.27ms (95%)
[  67s] threads: 16, tps: 3715.01, reads/s: 51991.14, writes/s: 0.00, response time: 5.21ms (95%)
[  68s] threads: 16, tps: 3693.00, reads/s: 51686.95, writes/s: 0.00, response time: 5.37ms (95%)
[  69s] threads: 16, tps: 3716.00, reads/s: 52003.05, writes/s: 0.00, response time: 5.18ms (95%)
[  70s] threads: 16, tps: 3700.99, reads/s: 51877.82, writes/s: 0.00, response time: 5.36ms (95%)
[  71s] threads: 16, tps: 3748.98, reads/s: 52461.76, writes/s: 0.00, response time: 5.08ms (95%)
[  72s] threads: 16, tps: 3747.02, reads/s: 52456.25, writes/s: 0.00, response time: 5.08ms (95%)
[  73s] threads: 16, tps: 3706.00, reads/s: 51867.05, writes/s: 0.00, response time: 5.25ms (95%)
[  74s] threads: 16, tps: 3718.94, reads/s: 52080.14, writes/s: 0.00, response time: 5.19ms (95%)
[  75s] threads: 16, tps: 3737.06, reads/s: 52338.85, writes/s: 0.00, response time: 5.15ms (95%)
[  76s] threads: 16, tps: 3748.00, reads/s: 52453.04, writes/s: 0.00, response time: 5.16ms (95%)
[  77s] threads: 16, tps: 3744.00, reads/s: 52418.02, writes/s: 0.00, response time: 5.17ms (95%)
[  78s] threads: 16, tps: 3736.00, reads/s: 52281.01, writes/s: 0.00, response time: 5.20ms (95%)
[  79s] threads: 16, tps: 3712.00, reads/s: 51954.07, writes/s: 0.00, response time: 5.34ms (95%)
[  80s] threads: 16, tps: 3744.98, reads/s: 52468.77, writes/s: 0.00, response time: 5.22ms (95%)
[  81s] threads: 16, tps: 3747.01, reads/s: 52450.12, writes/s: 0.00, response time: 5.20ms (95%)
[  82s] threads: 16, tps: 3760.97, reads/s: 52624.59, writes/s: 0.00, response time: 5.20ms (95%)
[  83s] threads: 16, tps: 3722.03, reads/s: 52150.41, writes/s: 0.00, response time: 5.34ms (95%)
[  84s] threads: 16, tps: 3707.01, reads/s: 51874.07, writes/s: 0.00, response time: 5.48ms (95%)
[  85s] threads: 16, tps: 3765.00, reads/s: 52748.98, writes/s: 0.00, response time: 5.13ms (95%)
[  86s] threads: 16, tps: 3785.00, reads/s: 52978.98, writes/s: 0.00, response time: 5.08ms (95%)
[  87s] threads: 16, tps: 3783.00, reads/s: 52960.99, writes/s: 0.00, response time: 5.13ms (95%)
[  88s] threads: 16, tps: 3801.99, reads/s: 53207.91, writes/s: 0.00, response time: 5.06ms (95%)
[  89s] threads: 16, tps: 3775.01, reads/s: 52875.10, writes/s: 0.00, response time: 5.07ms (95%)
[  90s] threads: 16, tps: 3801.00, reads/s: 53202.05, writes/s: 0.00, response time: 5.08ms (95%)
[  91s] threads: 16, tps: 3807.00, reads/s: 53288.05, writes/s: 0.00, response time: 5.06ms (95%)
[  92s] threads: 16, tps: 3815.99, reads/s: 53396.92, writes/s: 0.00, response time: 5.04ms (95%)
[  93s] threads: 16, tps: 3751.00, reads/s: 52536.01, writes/s: 0.00, response time: 5.31ms (95%)
[  94s] threads: 16, tps: 3765.99, reads/s: 52735.82, writes/s: 0.00, response time: 5.23ms (95%)
[  95s] threads: 16, tps: 3802.01, reads/s: 53244.14, writes/s: 0.00, response time: 5.19ms (95%)
[  96s] threads: 16, tps: 3819.00, reads/s: 53424.03, writes/s: 0.00, response time: 5.01ms (95%)
