sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 128, tps: 7518.15, reads/s: 106235.00, writes/s: 0.00, response time: 28.43ms (95%)
[   2s] threads: 128, tps: 8866.66, reads/s: 124159.19, writes/s: 0.00, response time: 21.42ms (95%)
[   3s] threads: 128, tps: 9108.96, reads/s: 127528.38, writes/s: 0.00, response time: 19.83ms (95%)
[   4s] threads: 128, tps: 9157.82, reads/s: 128212.52, writes/s: 0.00, response time: 20.12ms (95%)
[   5s] threads: 128, tps: 9261.07, reads/s: 129608.05, writes/s: 0.00, response time: 20.14ms (95%)
[   6s] threads: 128, tps: 7842.58, reads/s: 109977.13, writes/s: 0.00, response time: 27.99ms (95%)
[   7s] threads: 128, tps: 5263.30, reads/s: 73648.22, writes/s: 0.00, response time: 32.61ms (95%)
[   8s] threads: 128, tps: 5073.83, reads/s: 71128.60, writes/s: 0.00, response time: 30.04ms (95%)
[   9s] threads: 128, tps: 5084.93, reads/s: 71154.01, writes/s: 0.00, response time: 33.17ms (95%)
[  10s] threads: 128, tps: 5087.05, reads/s: 71268.77, writes/s: 0.00, response time: 32.88ms (95%)
[  11s] threads: 128, tps: 5097.95, reads/s: 71480.24, writes/s: 0.00, response time: 32.70ms (95%)
[  12s] threads: 128, tps: 5116.14, reads/s: 71420.92, writes/s: 0.00, response time: 30.11ms (95%)
[  13s] threads: 128, tps: 5103.91, reads/s: 71469.71, writes/s: 0.00, response time: 29.49ms (95%)
[  14s] threads: 128, tps: 5105.13, reads/s: 71550.80, writes/s: 0.00, response time: 29.13ms (95%)
[  15s] threads: 128, tps: 5116.85, reads/s: 71617.86, writes/s: 0.00, response time: 29.05ms (95%)
[  16s] threads: 128, tps: 5128.05, reads/s: 71773.77, writes/s: 0.00, response time: 29.54ms (95%)
[  17s] threads: 128, tps: 5138.91, reads/s: 71855.77, writes/s: 0.00, response time: 30.08ms (95%)
[  18s] threads: 128, tps: 5128.09, reads/s: 71921.22, writes/s: 0.00, response time: 30.07ms (95%)
[  19s] threads: 128, tps: 5146.17, reads/s: 72003.45, writes/s: 0.00, response time: 31.80ms (95%)
[  20s] threads: 128, tps: 5143.82, reads/s: 72087.48, writes/s: 0.00, response time: 30.18ms (95%)
[  21s] threads: 128, tps: 5153.00, reads/s: 72148.01, writes/s: 0.00, response time: 31.22ms (95%)
[  22s] threads: 128, tps: 5154.99, reads/s: 72135.86, writes/s: 0.00, response time: 31.55ms (95%)
[  23s] threads: 128, tps: 5158.03, reads/s: 72238.36, writes/s: 0.00, response time: 30.01ms (95%)
[  24s] threads: 128, tps: 5163.98, reads/s: 72298.67, writes/s: 0.00, response time: 30.18ms (95%)
[  25s] threads: 128, tps: 5176.01, reads/s: 72388.18, writes/s: 0.00, response time: 30.41ms (95%)
[  26s] threads: 128, tps: 5162.01, reads/s: 72359.16, writes/s: 0.00, response time: 30.74ms (95%)
[  27s] threads: 128, tps: 5173.90, reads/s: 72294.62, writes/s: 0.00, response time: 29.35ms (95%)
[  28s] threads: 128, tps: 5183.10, reads/s: 72547.37, writes/s: 0.00, response time: 29.13ms (95%)
[  29s] threads: 128, tps: 5191.00, reads/s: 72666.00, writes/s: 0.00, response time: 30.77ms (95%)
[  30s] threads: 128, tps: 5180.98, reads/s: 72690.77, writes/s: 0.00, response time: 30.78ms (95%)
[  31s] threads: 128, tps: 5200.02, reads/s: 72747.25, writes/s: 0.00, response time: 31.32ms (95%)
[  32s] threads: 128, tps: 5198.99, reads/s: 72749.83, writes/s: 0.00, response time: 30.29ms (95%)
[  33s] threads: 128, tps: 5193.96, reads/s: 72705.48, writes/s: 0.00, response time: 30.26ms (95%)
[  34s] threads: 128, tps: 5206.05, reads/s: 72882.67, writes/s: 0.00, response time: 31.07ms (95%)
[  35s] threads: 128, tps: 5214.97, reads/s: 72942.52, writes/s: 0.00, response time: 32.04ms (95%)
[  36s] threads: 128, tps: 5206.03, reads/s: 73012.47, writes/s: 0.00, response time: 29.36ms (95%)
[  37s] threads: 128, tps: 5220.01, reads/s: 73045.09, writes/s: 0.00, response time: 30.47ms (95%)
[  38s] threads: 128, tps: 5212.98, reads/s: 73042.78, writes/s: 0.00, response time: 30.99ms (95%)
[  39s] threads: 128, tps: 5228.17, reads/s: 73044.42, writes/s: 0.00, response time: 31.97ms (95%)
[  40s] threads: 128, tps: 5214.83, reads/s: 73141.64, writes/s: 0.00, response time: 32.55ms (95%)
[  41s] threads: 128, tps: 5236.01, reads/s: 73200.13, writes/s: 0.00, response time: 30.52ms (95%)
[  42s] threads: 128, tps: 5217.97, reads/s: 73155.51, writes/s: 0.00, response time: 30.45ms (95%)
[  43s] threads: 128, tps: 5244.01, reads/s: 73217.11, writes/s: 0.00, response time: 30.72ms (95%)
[  44s] threads: 128, tps: 5233.01, reads/s: 73369.19, writes/s: 0.00, response time: 30.16ms (95%)
[  45s] threads: 128, tps: 5235.17, reads/s: 73252.31, writes/s: 0.00, response time: 30.32ms (95%)
[  46s] threads: 128, tps: 5237.84, reads/s: 73320.79, writes/s: 0.00, response time: 29.50ms (95%)
[  47s] threads: 128, tps: 5227.87, reads/s: 73319.21, writes/s: 0.00, response time: 29.29ms (95%)
[  48s] threads: 128, tps: 5245.29, reads/s: 73405.03, writes/s: 0.00, response time: 29.16ms (95%)
[  49s] threads: 128, tps: 5258.84, reads/s: 73546.73, writes/s: 0.00, response time: 27.83ms (95%)
[  50s] threads: 128, tps: 5245.95, reads/s: 73545.27, writes/s: 0.00, response time: 29.38ms (95%)
[  51s] threads: 128, tps: 5254.92, reads/s: 73576.90, writes/s: 0.00, response time: 30.39ms (95%)
[  52s] threads: 128, tps: 5251.13, reads/s: 73540.87, writes/s: 0.00, response time: 30.04ms (95%)
[  53s] threads: 128, tps: 5268.00, reads/s: 73609.93, writes/s: 0.00, response time: 31.15ms (95%)
[  54s] threads: 128, tps: 5265.98, reads/s: 73753.68, writes/s: 0.00, response time: 31.99ms (95%)
[  55s] threads: 128, tps: 5250.03, reads/s: 73645.42, writes/s: 0.00, response time: 30.02ms (95%)
[  56s] threads: 128, tps: 5266.98, reads/s: 73725.66, writes/s: 0.00, response time: 29.50ms (95%)
[  57s] threads: 128, tps: 5270.00, reads/s: 73727.98, writes/s: 0.00, response time: 28.31ms (95%)
[  58s] threads: 128, tps: 5265.02, reads/s: 73690.23, writes/s: 0.00, response time: 28.87ms (95%)
[  59s] threads: 128, tps: 5277.91, reads/s: 73870.80, writes/s: 0.00, response time: 30.61ms (95%)
[  60s] threads: 128, tps: 5269.05, reads/s: 73766.67, writes/s: 0.00, response time: 30.22ms (95%)
[  61s] threads: 128, tps: 5272.96, reads/s: 73837.47, writes/s: 0.00, response time: 29.98ms (95%)
[  62s] threads: 128, tps: 5270.05, reads/s: 73851.69, writes/s: 0.00, response time: 30.84ms (95%)
[  63s] threads: 128, tps: 5274.01, reads/s: 73877.09, writes/s: 0.00, response time: 29.89ms (95%)
[  64s] threads: 128, tps: 5295.02, reads/s: 73935.31, writes/s: 0.00, response time: 29.16ms (95%)
[  65s] threads: 128, tps: 5282.00, reads/s: 73992.02, writes/s: 0.00, response time: 29.68ms (95%)
[  66s] threads: 128, tps: 5282.01, reads/s: 74027.09, writes/s: 0.00, response time: 30.02ms (95%)
[  67s] threads: 128, tps: 5291.00, reads/s: 74017.93, writes/s: 0.00, response time: 30.00ms (95%)
[  68s] threads: 128, tps: 5280.00, reads/s: 74026.01, writes/s: 0.00, response time: 29.53ms (95%)
[  69s] threads: 128, tps: 5271.00, reads/s: 73736.03, writes/s: 0.00, response time: 27.84ms (95%)
[  70s] threads: 128, tps: 5293.99, reads/s: 74142.89, writes/s: 0.00, response time: 29.89ms (95%)
[  71s] threads: 128, tps: 5299.00, reads/s: 74144.05, writes/s: 0.00, response time: 29.73ms (95%)
[  72s] threads: 128, tps: 5289.00, reads/s: 74110.06, writes/s: 0.00, response time: 29.99ms (95%)
[  73s] threads: 128, tps: 5297.98, reads/s: 74154.75, writes/s: 0.00, response time: 28.51ms (95%)
[  74s] threads: 128, tps: 5302.02, reads/s: 74151.27, writes/s: 0.00, response time: 29.06ms (95%)
[  75s] threads: 128, tps: 5300.98, reads/s: 74202.70, writes/s: 0.00, response time: 29.62ms (95%)
[  76s] threads: 128, tps: 5296.02, reads/s: 74167.31, writes/s: 0.00, response time: 31.17ms (95%)
[  77s] threads: 128, tps: 5233.98, reads/s: 73335.67, writes/s: 0.00, response time: 30.64ms (95%)
[  78s] threads: 128, tps: 5225.95, reads/s: 73137.31, writes/s: 0.00, response time: 30.81ms (95%)
[  79s] threads: 128, tps: 5244.00, reads/s: 73355.95, writes/s: 0.00, response time: 29.63ms (95%)
[  80s] threads: 128, tps: 5246.03, reads/s: 73448.37, writes/s: 0.00, response time: 32.11ms (95%)
[  81s] threads: 128, tps: 5238.03, reads/s: 73411.35, writes/s: 0.00, response time: 31.30ms (95%)
[  82s] threads: 128, tps: 5245.93, reads/s: 73402.05, writes/s: 0.00, response time: 32.94ms (95%)
[  83s] threads: 128, tps: 5244.06, reads/s: 73353.85, writes/s: 0.00, response time: 33.15ms (95%)
[  84s] threads: 128, tps: 5238.02, reads/s: 73392.24, writes/s: 0.00, response time: 31.55ms (95%)
[  85s] threads: 128, tps: 5240.78, reads/s: 73391.90, writes/s: 0.00, response time: 30.08ms (95%)
[  86s] threads: 128, tps: 5243.21, reads/s: 73358.92, writes/s: 0.00, response time: 29.94ms (95%)
[  87s] threads: 128, tps: 5233.58, reads/s: 73405.16, writes/s: 0.00, response time: 31.98ms (95%)
