sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 4, tps: 538.56, reads/s: 7561.81, writes/s: 0.00, response time: 10.54ms (95%)
[   2s] threads: 4, tps: 633.00, reads/s: 8866.06, writes/s: 0.00, response time: 7.55ms (95%)
[   3s] threads: 4, tps: 673.00, reads/s: 9427.99, writes/s: 0.00, response time: 7.19ms (95%)
[   4s] threads: 4, tps: 689.00, reads/s: 9643.00, writes/s: 0.00, response time: 7.04ms (95%)
[   5s] threads: 4, tps: 707.00, reads/s: 9896.99, writes/s: 0.00, response time: 6.83ms (95%)
[   6s] threads: 4, tps: 723.00, reads/s: 10129.02, writes/s: 0.00, response time: 6.60ms (95%)
[   7s] threads: 4, tps: 742.94, reads/s: 10392.21, writes/s: 0.00, response time: 6.51ms (95%)
[   8s] threads: 4, tps: 752.03, reads/s: 10526.40, writes/s: 0.00, response time: 6.41ms (95%)
[   9s] threads: 4, tps: 762.02, reads/s: 10678.33, writes/s: 0.00, response time: 6.28ms (95%)
[  10s] threads: 4, tps: 762.00, reads/s: 10678.99, writes/s: 0.00, response time: 6.34ms (95%)
[  11s] threads: 4, tps: 771.00, reads/s: 10784.00, writes/s: 0.00, response time: 6.25ms (95%)
[  12s] threads: 4, tps: 777.00, reads/s: 10868.05, writes/s: 0.00, response time: 6.21ms (95%)
[  13s] threads: 4, tps: 786.00, reads/s: 11023.01, writes/s: 0.00, response time: 6.07ms (95%)
[  14s] threads: 4, tps: 796.00, reads/s: 11145.01, writes/s: 0.00, response time: 6.05ms (95%)
[  15s] threads: 4, tps: 806.99, reads/s: 11288.93, writes/s: 0.00, response time: 5.99ms (95%)
[  16s] threads: 4, tps: 798.00, reads/s: 11146.06, writes/s: 0.00, response time: 6.02ms (95%)
[  17s] threads: 4, tps: 797.00, reads/s: 11195.01, writes/s: 0.00, response time: 5.96ms (95%)
[  18s] threads: 4, tps: 803.99, reads/s: 11240.82, writes/s: 0.00, response time: 6.19ms (95%)
[  19s] threads: 4, tps: 803.01, reads/s: 11235.16, writes/s: 0.00, response time: 6.06ms (95%)
[  20s] threads: 4, tps: 797.00, reads/s: 11176.93, writes/s: 0.00, response time: 6.07ms (95%)
[  21s] threads: 4, tps: 804.00, reads/s: 11242.97, writes/s: 0.00, response time: 6.03ms (95%)
[  22s] threads: 4, tps: 803.00, reads/s: 11259.01, writes/s: 0.00, response time: 6.00ms (95%)
[  23s] threads: 4, tps: 811.01, reads/s: 11329.08, writes/s: 0.00, response time: 5.94ms (95%)
[  24s] threads: 4, tps: 814.98, reads/s: 11419.73, writes/s: 0.00, response time: 5.85ms (95%)
[  25s] threads: 4, tps: 818.01, reads/s: 11434.19, writes/s: 0.00, response time: 5.98ms (95%)
[  26s] threads: 4, tps: 827.01, reads/s: 11594.09, writes/s: 0.00, response time: 5.76ms (95%)
[  27s] threads: 4, tps: 826.99, reads/s: 11586.90, writes/s: 0.00, response time: 5.85ms (95%)
[  28s] threads: 4, tps: 833.00, reads/s: 11647.04, writes/s: 0.00, response time: 5.86ms (95%)
[  29s] threads: 4, tps: 838.99, reads/s: 11740.91, writes/s: 0.00, response time: 5.80ms (95%)
[  30s] threads: 4, tps: 832.01, reads/s: 11679.09, writes/s: 0.00, response time: 5.80ms (95%)
[  31s] threads: 4, tps: 820.00, reads/s: 11469.97, writes/s: 0.00, response time: 5.88ms (95%)
[  32s] threads: 4, tps: 815.01, reads/s: 11412.08, writes/s: 0.00, response time: 5.96ms (95%)
[  33s] threads: 4, tps: 828.00, reads/s: 11573.94, writes/s: 0.00, response time: 5.80ms (95%)
[  34s] threads: 4, tps: 842.00, reads/s: 11784.96, writes/s: 0.00, response time: 5.79ms (95%)
[  35s] threads: 4, tps: 838.00, reads/s: 11750.02, writes/s: 0.00, response time: 5.78ms (95%)
[  36s] threads: 4, tps: 844.01, reads/s: 11813.08, writes/s: 0.00, response time: 5.75ms (95%)
[  37s] threads: 4, tps: 853.97, reads/s: 11942.60, writes/s: 0.00, response time: 5.62ms (95%)
[  38s] threads: 4, tps: 844.03, reads/s: 11821.40, writes/s: 0.00, response time: 5.75ms (95%)
[  39s] threads: 4, tps: 849.00, reads/s: 11888.99, writes/s: 0.00, response time: 5.77ms (95%)
[  40s] threads: 4, tps: 852.00, reads/s: 11919.02, writes/s: 0.00, response time: 5.73ms (95%)
[  41s] threads: 4, tps: 871.97, reads/s: 12214.60, writes/s: 0.00, response time: 5.59ms (95%)
[  42s] threads: 4, tps: 867.00, reads/s: 12132.97, writes/s: 0.00, response time: 5.64ms (95%)
