sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1024, tps: 7174.64, reads/s: 109615.21, writes/s: 0.00, response time: 272.27ms (95%)
[   2s] threads: 1024, tps: 8428.40, reads/s: 118118.62, writes/s: 0.00, response time: 146.21ms (95%)
[   3s] threads: 1024, tps: 8553.15, reads/s: 119850.15, writes/s: 0.00, response time: 142.84ms (95%)
[   4s] threads: 1024, tps: 9002.91, reads/s: 125929.68, writes/s: 0.00, response time: 228.40ms (95%)
[   5s] threads: 1024, tps: 8714.17, reads/s: 122017.34, writes/s: 0.00, response time: 140.00ms (95%)
[   6s] threads: 1024, tps: 8774.74, reads/s: 122811.34, writes/s: 0.00, response time: 146.65ms (95%)
[   7s] threads: 1024, tps: 8737.72, reads/s: 122332.10, writes/s: 0.00, response time: 132.42ms (95%)
[   8s] threads: 1024, tps: 8785.32, reads/s: 123051.55, writes/s: 0.00, response time: 131.75ms (95%)
[   9s] threads: 1024, tps: 8908.87, reads/s: 124149.17, writes/s: 0.00, response time: 136.90ms (95%)
[  10s] threads: 1024, tps: 9692.24, reads/s: 135147.35, writes/s: 0.00, response time: 292.55ms (95%)
[  11s] threads: 1024, tps: 9460.87, reads/s: 132522.13, writes/s: 0.00, response time: 282.74ms (95%)
[  12s] threads: 1024, tps: 8880.92, reads/s: 125468.85, writes/s: 0.00, response time: 140.51ms (95%)
[  13s] threads: 1024, tps: 9006.26, reads/s: 125960.57, writes/s: 0.00, response time: 130.89ms (95%)
[  14s] threads: 1024, tps: 9272.86, reads/s: 129825.99, writes/s: 0.00, response time: 223.33ms (95%)
[  15s] threads: 1024, tps: 9044.81, reads/s: 126763.37, writes/s: 0.00, response time: 137.35ms (95%)
[  16s] threads: 1024, tps: 9153.92, reads/s: 127978.90, writes/s: 0.00, response time: 142.12ms (95%)
[  17s] threads: 1024, tps: 9064.92, reads/s: 126976.92, writes/s: 0.00, response time: 136.24ms (95%)
[  18s] threads: 1024, tps: 9088.41, reads/s: 127311.74, writes/s: 0.00, response time: 131.67ms (95%)
[  19s] threads: 1024, tps: 9406.10, reads/s: 131313.34, writes/s: 0.00, response time: 275.22ms (95%)
[  20s] threads: 1024, tps: 9151.58, reads/s: 128589.08, writes/s: 0.00, response time: 166.00ms (95%)
[  21s] threads: 1024, tps: 9435.20, reads/s: 130439.75, writes/s: 0.00, response time: 149.85ms (95%)
[  22s] threads: 1024, tps: 9334.89, reads/s: 132257.40, writes/s: 0.00, response time: 234.64ms (95%)
[  23s] threads: 1024, tps: 9151.33, reads/s: 128731.70, writes/s: 0.00, response time: 131.75ms (95%)
[  24s] threads: 1024, tps: 9269.84, reads/s: 129379.78, writes/s: 0.00, response time: 143.31ms (95%)
[  25s] threads: 1024, tps: 9473.53, reads/s: 132030.41, writes/s: 0.00, response time: 189.60ms (95%)
[  26s] threads: 1024, tps: 9294.30, reads/s: 130698.21, writes/s: 0.00, response time: 230.87ms (95%)
[  27s] threads: 1024, tps: 9379.00, reads/s: 132325.98, writes/s: 0.00, response time: 247.18ms (95%)
[  28s] threads: 1024, tps: 9773.94, reads/s: 135337.24, writes/s: 0.00, response time: 279.79ms (95%)
[  29s] threads: 1024, tps: 9482.33, reads/s: 133104.70, writes/s: 0.00, response time: 243.22ms (95%)
[  30s] threads: 1024, tps: 9512.03, reads/s: 131686.41, writes/s: 0.00, response time: 168.40ms (95%)
[  31s] threads: 1024, tps: 9362.55, reads/s: 132414.58, writes/s: 0.00, response time: 267.19ms (95%)
[  32s] threads: 1024, tps: 9392.38, reads/s: 131518.36, writes/s: 0.00, response time: 183.24ms (95%)
[  33s] threads: 1024, tps: 9270.95, reads/s: 129798.24, writes/s: 0.00, response time: 129.21ms (95%)
[  34s] threads: 1024, tps: 9577.96, reads/s: 134185.43, writes/s: 0.00, response time: 239.60ms (95%)
[  35s] threads: 1024, tps: 9280.78, reads/s: 129814.97, writes/s: 0.00, response time: 136.86ms (95%)
[  36s] threads: 1024, tps: 9706.48, reads/s: 133532.65, writes/s: 0.00, response time: 235.20ms (95%)
[  37s] threads: 1024, tps: 9345.36, reads/s: 133335.85, writes/s: 0.00, response time: 266.39ms (95%)
[  38s] threads: 1024, tps: 9634.05, reads/s: 134133.69, writes/s: 0.00, response time: 240.97ms (95%)
[  39s] threads: 1024, tps: 9849.31, reads/s: 138399.30, writes/s: 0.00, response time: 483.16ms (95%)
[  40s] threads: 1024, tps: 9834.77, reads/s: 137769.74, writes/s: 0.00, response time: 294.31ms (95%)
[  41s] threads: 1024, tps: 9738.75, reads/s: 135665.58, writes/s: 0.00, response time: 269.92ms (95%)
[  42s] threads: 1024, tps: 9336.09, reads/s: 132862.25, writes/s: 0.00, response time: 223.13ms (95%)
[  43s] threads: 1024, tps: 10020.26, reads/s: 137779.55, writes/s: 0.00, response time: 246.29ms (95%)
[  44s] threads: 1024, tps: 9646.85, reads/s: 136047.94, writes/s: 0.00, response time: 281.98ms (95%)
[  45s] threads: 1024, tps: 9546.41, reads/s: 132338.70, writes/s: 0.00, response time: 135.83ms (95%)
[  46s] threads: 1024, tps: 9548.94, reads/s: 133329.14, writes/s: 0.00, response time: 243.14ms (95%)
[  47s] threads: 1024, tps: 5873.88, reads/s: 82488.27, writes/s: 0.00, response time: 735.32ms (95%)
[  48s] threads: 1024, tps: 9032.10, reads/s: 131031.44, writes/s: 0.00, response time: 291.33ms (95%)
[  49s] threads: 1024, tps: 9760.12, reads/s: 132502.68, writes/s: 0.00, response time: 367.18ms (95%)
[  50s] threads: 1024, tps: 7378.69, reads/s: 103685.63, writes/s: 0.00, response time: 633.49ms (95%)
[  51s] threads: 1024, tps: 8706.04, reads/s: 120922.53, writes/s: 0.00, response time: 424.04ms (95%)
[  52s] threads: 1024, tps: 9566.08, reads/s: 134863.06, writes/s: 0.00, response time: 395.24ms (95%)
[  53s] threads: 1024, tps: 9582.05, reads/s: 134513.67, writes/s: 0.00, response time: 318.80ms (95%)
[  54s] threads: 1024, tps: 9593.42, reads/s: 133874.94, writes/s: 0.00, response time: 330.66ms (95%)
[  55s] threads: 1024, tps: 9726.90, reads/s: 134735.45, writes/s: 0.00, response time: 347.50ms (95%)
[  56s] threads: 1024, tps: 8950.90, reads/s: 125928.63, writes/s: 0.00, response time: 410.06ms (95%)
[  57s] threads: 1024, tps: 9621.29, reads/s: 135151.14, writes/s: 0.00, response time: 368.61ms (95%)
[  58s] threads: 1024, tps: 9692.31, reads/s: 135058.50, writes/s: 0.00, response time: 338.06ms (95%)
[  59s] threads: 1024, tps: 9628.13, reads/s: 134823.80, writes/s: 0.00, response time: 319.94ms (95%)
[  60s] threads: 1024, tps: 9478.01, reads/s: 132195.12, writes/s: 0.00, response time: 357.63ms (95%)
[  61s] threads: 1024, tps: 9560.33, reads/s: 133562.58, writes/s: 0.00, response time: 344.60ms (95%)
[  62s] threads: 1024, tps: 9653.70, reads/s: 135874.79, writes/s: 0.00, response time: 321.38ms (95%)
[  63s] threads: 1024, tps: 9550.09, reads/s: 134198.28, writes/s: 0.00, response time: 335.94ms (95%)
[  64s] threads: 1024, tps: 9449.89, reads/s: 132276.40, writes/s: 0.00, response time: 350.95ms (95%)
[  65s] threads: 1024, tps: 9660.85, reads/s: 134721.87, writes/s: 0.00, response time: 357.42ms (95%)
[  66s] threads: 1024, tps: 9548.48, reads/s: 133994.67, writes/s: 0.00, response time: 341.62ms (95%)
