sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 512, tps: 7650.05, reads/s: 111839.10, writes/s: 0.00, response time: 120.58ms (95%)
[   2s] threads: 512, tps: 8643.78, reads/s: 122489.84, writes/s: 0.00, response time: 109.37ms (95%)
[   3s] threads: 512, tps: 9020.23, reads/s: 124802.22, writes/s: 0.00, response time: 87.77ms (95%)
[   4s] threads: 512, tps: 8949.19, reads/s: 125155.65, writes/s: 0.00, response time: 75.70ms (95%)
[   5s] threads: 512, tps: 9042.02, reads/s: 126068.24, writes/s: 0.00, response time: 100.00ms (95%)
[   6s] threads: 512, tps: 9105.99, reads/s: 127051.92, writes/s: 0.00, response time: 93.32ms (95%)
[   7s] threads: 512, tps: 9115.79, reads/s: 128704.09, writes/s: 0.00, response time: 112.25ms (95%)
[   8s] threads: 512, tps: 9142.25, reads/s: 127805.50, writes/s: 0.00, response time: 104.10ms (95%)
[   9s] threads: 512, tps: 9411.65, reads/s: 131881.08, writes/s: 0.00, response time: 127.86ms (95%)
[  10s] threads: 512, tps: 9347.28, reads/s: 131030.99, writes/s: 0.00, response time: 102.80ms (95%)
[  11s] threads: 512, tps: 9434.89, reads/s: 132003.44, writes/s: 0.00, response time: 103.94ms (95%)
[  12s] threads: 512, tps: 9484.01, reads/s: 132242.12, writes/s: 0.00, response time: 111.62ms (95%)
[  13s] threads: 512, tps: 9329.94, reads/s: 131257.12, writes/s: 0.00, response time: 116.67ms (95%)
[  14s] threads: 512, tps: 9175.19, reads/s: 128452.70, writes/s: 0.00, response time: 111.78ms (95%)
[  15s] threads: 512, tps: 9204.68, reads/s: 128724.50, writes/s: 0.00, response time: 100.82ms (95%)
[  16s] threads: 512, tps: 9196.26, reads/s: 129052.60, writes/s: 0.00, response time: 118.89ms (95%)
[  17s] threads: 512, tps: 9132.99, reads/s: 127575.81, writes/s: 0.00, response time: 75.59ms (95%)
[  18s] threads: 512, tps: 9250.09, reads/s: 128386.21, writes/s: 0.00, response time: 87.17ms (95%)
[  19s] threads: 512, tps: 9123.78, reads/s: 129063.83, writes/s: 0.00, response time: 119.86ms (95%)
[  20s] threads: 512, tps: 9241.18, reads/s: 128802.51, writes/s: 0.00, response time: 89.57ms (95%)
[  21s] threads: 512, tps: 9346.76, reads/s: 130461.71, writes/s: 0.00, response time: 125.14ms (95%)
[  22s] threads: 512, tps: 9301.23, reads/s: 130575.19, writes/s: 0.00, response time: 122.40ms (95%)
[  23s] threads: 512, tps: 9267.79, reads/s: 130157.99, writes/s: 0.00, response time: 119.43ms (95%)
[  24s] threads: 512, tps: 9299.16, reads/s: 129862.30, writes/s: 0.00, response time: 97.99ms (95%)
[  25s] threads: 512, tps: 9351.14, reads/s: 130530.94, writes/s: 0.00, response time: 88.08ms (95%)
[  26s] threads: 512, tps: 9254.81, reads/s: 130115.37, writes/s: 0.00, response time: 109.96ms (95%)
[  27s] threads: 512, tps: 9219.19, reads/s: 129308.63, writes/s: 0.00, response time: 70.50ms (95%)
[  28s] threads: 512, tps: 9403.67, reads/s: 130919.41, writes/s: 0.00, response time: 122.25ms (95%)
[  29s] threads: 512, tps: 9288.14, reads/s: 130742.02, writes/s: 0.00, response time: 104.16ms (95%)
[  30s] threads: 512, tps: 9307.12, reads/s: 129956.71, writes/s: 0.00, response time: 71.88ms (95%)
[  31s] threads: 512, tps: 9343.00, reads/s: 130858.96, writes/s: 0.00, response time: 89.68ms (95%)
[  32s] threads: 512, tps: 9294.00, reads/s: 130195.02, writes/s: 0.00, response time: 73.54ms (95%)
[  33s] threads: 512, tps: 9384.97, reads/s: 131680.62, writes/s: 0.00, response time: 105.79ms (95%)
[  34s] threads: 512, tps: 9459.98, reads/s: 132343.72, writes/s: 0.00, response time: 113.23ms (95%)
[  35s] threads: 512, tps: 9339.81, reads/s: 130781.35, writes/s: 0.00, response time: 69.47ms (95%)
[  36s] threads: 512, tps: 9498.88, reads/s: 132658.30, writes/s: 0.00, response time: 116.29ms (95%)
[  37s] threads: 512, tps: 9485.31, reads/s: 133015.30, writes/s: 0.00, response time: 110.95ms (95%)
[  38s] threads: 512, tps: 9543.80, reads/s: 133802.17, writes/s: 0.00, response time: 129.91ms (95%)
[  39s] threads: 512, tps: 9517.22, reads/s: 133248.02, writes/s: 0.00, response time: 127.06ms (95%)
[  40s] threads: 512, tps: 9552.04, reads/s: 133458.61, writes/s: 0.00, response time: 120.25ms (95%)
[  41s] threads: 512, tps: 9490.89, reads/s: 132978.47, writes/s: 0.00, response time: 114.73ms (95%)
[  42s] threads: 512, tps: 9435.35, reads/s: 132070.85, writes/s: 0.00, response time: 78.03ms (95%)
[  43s] threads: 512, tps: 9563.71, reads/s: 133080.83, writes/s: 0.00, response time: 80.21ms (95%)
[  44s] threads: 512, tps: 9568.02, reads/s: 133601.22, writes/s: 0.00, response time: 146.70ms (95%)
[  45s] threads: 512, tps: 9403.55, reads/s: 132854.60, writes/s: 0.00, response time: 110.42ms (95%)
[  46s] threads: 512, tps: 9425.50, reads/s: 131885.98, writes/s: 0.00, response time: 106.81ms (95%)
[  47s] threads: 512, tps: 5189.94, reads/s: 72144.15, writes/s: 0.00, response time: 549.85ms (95%)
[  48s] threads: 512, tps: 6508.87, reads/s: 91309.15, writes/s: 0.00, response time: 411.04ms (95%)
[  49s] threads: 512, tps: 9397.26, reads/s: 131889.70, writes/s: 0.00, response time: 151.52ms (95%)
[  50s] threads: 512, tps: 9407.32, reads/s: 131332.50, writes/s: 0.00, response time: 109.56ms (95%)
[  51s] threads: 512, tps: 9437.64, reads/s: 131926.93, writes/s: 0.00, response time: 139.09ms (95%)
[  52s] threads: 512, tps: 8852.07, reads/s: 124437.93, writes/s: 0.00, response time: 168.61ms (95%)
[  53s] threads: 512, tps: 9467.94, reads/s: 131906.16, writes/s: 0.00, response time: 116.25ms (95%)
[  54s] threads: 512, tps: 9389.81, reads/s: 131156.35, writes/s: 0.00, response time: 108.68ms (95%)
[  55s] threads: 512, tps: 9338.88, reads/s: 131949.29, writes/s: 0.00, response time: 131.95ms (95%)
[  56s] threads: 512, tps: 8080.35, reads/s: 111970.81, writes/s: 0.00, response time: 252.04ms (95%)
[  57s] threads: 512, tps: 9313.97, reads/s: 130318.64, writes/s: 0.00, response time: 98.76ms (95%)
[  58s] threads: 512, tps: 9375.76, reads/s: 131363.59, writes/s: 0.00, response time: 135.92ms (95%)
[  59s] threads: 512, tps: 9340.21, reads/s: 131515.01, writes/s: 0.00, response time: 119.64ms (95%)
[  60s] threads: 512, tps: 9488.09, reads/s: 132365.21, writes/s: 0.00, response time: 101.88ms (95%)
[  61s] threads: 512, tps: 9476.81, reads/s: 132887.27, writes/s: 0.00, response time: 123.91ms (95%)
[  62s] threads: 512, tps: 9211.26, reads/s: 128772.72, writes/s: 0.00, response time: 161.98ms (95%)
[  63s] threads: 512, tps: 9422.79, reads/s: 132080.09, writes/s: 0.00, response time: 123.28ms (95%)
[  64s] threads: 512, tps: 9519.11, reads/s: 132940.49, writes/s: 0.00, response time: 126.31ms (95%)
[  65s] threads: 512, tps: 8947.93, reads/s: 124983.07, writes/s: 0.00, response time: 158.57ms (95%)
[  66s] threads: 512, tps: 9404.94, reads/s: 131997.18, writes/s: 0.00, response time: 102.40ms (95%)
[  67s] threads: 512, tps: 9504.02, reads/s: 132983.34, writes/s: 0.00, response time: 131.28ms (95%)
[  68s] threads: 512, tps: 9002.97, reads/s: 125887.56, writes/s: 0.00, response time: 150.93ms (95%)
