sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 32, tps: 3824.02, reads/s: 53841.36, writes/s: 0.00, response time: 10.51ms (95%)
[   2s] threads: 32, tps: 4244.04, reads/s: 59366.50, writes/s: 0.00, response time: 9.09ms (95%)
[   3s] threads: 32, tps: 4326.86, reads/s: 60583.00, writes/s: 0.00, response time: 8.91ms (95%)
[   4s] threads: 32, tps: 4392.14, reads/s: 61465.01, writes/s: 0.00, response time: 8.83ms (95%)
[   5s] threads: 32, tps: 4429.00, reads/s: 62023.01, writes/s: 0.00, response time: 8.74ms (95%)
[   6s] threads: 32, tps: 4474.99, reads/s: 62629.89, writes/s: 0.00, response time: 8.65ms (95%)
[   7s] threads: 32, tps: 4505.01, reads/s: 63084.16, writes/s: 0.00, response time: 8.64ms (95%)
[   8s] threads: 32, tps: 4524.98, reads/s: 63352.78, writes/s: 0.00, response time: 8.58ms (95%)
[   9s] threads: 32, tps: 4541.01, reads/s: 63597.17, writes/s: 0.00, response time: 8.61ms (95%)
[  10s] threads: 32, tps: 4562.00, reads/s: 63860.06, writes/s: 0.00, response time: 8.57ms (95%)
[  11s] threads: 32, tps: 4566.98, reads/s: 63949.71, writes/s: 0.00, response time: 8.57ms (95%)
[  12s] threads: 32, tps: 4591.01, reads/s: 64268.10, writes/s: 0.00, response time: 8.49ms (95%)
[  13s] threads: 32, tps: 4140.00, reads/s: 57958.03, writes/s: 0.00, response time: 12.23ms (95%)
[  14s] threads: 32, tps: 4073.01, reads/s: 57032.09, writes/s: 0.00, response time: 12.49ms (95%)
[  15s] threads: 32, tps: 4495.99, reads/s: 62903.81, writes/s: 0.00, response time: 9.07ms (95%)
[  16s] threads: 32, tps: 3934.00, reads/s: 55133.99, writes/s: 0.00, response time: 12.75ms (95%)
[  17s] threads: 32, tps: 4653.00, reads/s: 65104.01, writes/s: 0.00, response time: 8.39ms (95%)
[  18s] threads: 32, tps: 4649.01, reads/s: 65059.11, writes/s: 0.00, response time: 8.46ms (95%)
[  19s] threads: 32, tps: 4680.03, reads/s: 65530.36, writes/s: 0.00, response time: 8.35ms (95%)
[  20s] threads: 32, tps: 4670.98, reads/s: 65435.78, writes/s: 0.00, response time: 8.37ms (95%)
[  21s] threads: 32, tps: 4685.99, reads/s: 65585.79, writes/s: 0.00, response time: 8.38ms (95%)
[  22s] threads: 32, tps: 4697.00, reads/s: 65707.03, writes/s: 0.00, response time: 8.36ms (95%)
[  23s] threads: 32, tps: 4693.01, reads/s: 65713.12, writes/s: 0.00, response time: 8.36ms (95%)
[  24s] threads: 32, tps: 4702.00, reads/s: 65874.00, writes/s: 0.00, response time: 8.37ms (95%)
[  25s] threads: 32, tps: 4706.01, reads/s: 65896.10, writes/s: 0.00, response time: 8.32ms (95%)
[  26s] threads: 32, tps: 4720.99, reads/s: 66031.80, writes/s: 0.00, response time: 8.34ms (95%)
[  27s] threads: 32, tps: 4706.00, reads/s: 65916.99, writes/s: 0.00, response time: 8.41ms (95%)
[  28s] threads: 32, tps: 4733.99, reads/s: 66292.82, writes/s: 0.00, response time: 8.28ms (95%)
[  29s] threads: 32, tps: 4739.00, reads/s: 66298.03, writes/s: 0.00, response time: 8.36ms (95%)
[  30s] threads: 32, tps: 4742.02, reads/s: 66390.22, writes/s: 0.00, response time: 8.31ms (95%)
[  31s] threads: 32, tps: 4748.00, reads/s: 66543.97, writes/s: 0.00, response time: 8.29ms (95%)
[  32s] threads: 32, tps: 4698.99, reads/s: 65708.90, writes/s: 0.00, response time: 8.40ms (95%)
[  33s] threads: 32, tps: 4714.00, reads/s: 66038.07, writes/s: 0.00, response time: 8.36ms (95%)
[  34s] threads: 32, tps: 4716.01, reads/s: 65960.17, writes/s: 0.00, response time: 8.43ms (95%)
[  35s] threads: 32, tps: 4650.98, reads/s: 65141.66, writes/s: 0.00, response time: 8.69ms (95%)
[  36s] threads: 32, tps: 4729.02, reads/s: 66229.29, writes/s: 0.00, response time: 8.32ms (95%)
[  37s] threads: 32, tps: 4744.99, reads/s: 66427.88, writes/s: 0.00, response time: 8.40ms (95%)
[  38s] threads: 32, tps: 4761.00, reads/s: 66629.97, writes/s: 0.00, response time: 8.28ms (95%)
[  39s] threads: 32, tps: 4794.03, reads/s: 67162.37, writes/s: 0.00, response time: 8.23ms (95%)
[  40s] threads: 32, tps: 4812.98, reads/s: 67374.66, writes/s: 0.00, response time: 8.28ms (95%)
[  41s] threads: 32, tps: 4805.99, reads/s: 67223.90, writes/s: 0.00, response time: 8.21ms (95%)
[  42s] threads: 32, tps: 4814.00, reads/s: 67411.06, writes/s: 0.00, response time: 8.23ms (95%)
[  43s] threads: 32, tps: 4816.01, reads/s: 67446.08, writes/s: 0.00, response time: 8.17ms (95%)
[  44s] threads: 32, tps: 4820.01, reads/s: 67492.14, writes/s: 0.00, response time: 8.17ms (95%)
[  45s] threads: 32, tps: 4829.99, reads/s: 67650.81, writes/s: 0.00, response time: 8.17ms (95%)
[  46s] threads: 32, tps: 4846.00, reads/s: 67762.99, writes/s: 0.00, response time: 8.15ms (95%)
[  47s] threads: 32, tps: 4841.98, reads/s: 67836.78, writes/s: 0.00, response time: 8.17ms (95%)
[  48s] threads: 32, tps: 4845.03, reads/s: 67796.36, writes/s: 0.00, response time: 8.15ms (95%)
[  49s] threads: 32, tps: 4842.02, reads/s: 67834.23, writes/s: 0.00, response time: 8.13ms (95%)
[  50s] threads: 32, tps: 4853.98, reads/s: 67940.67, writes/s: 0.00, response time: 8.14ms (95%)
[  51s] threads: 32, tps: 4860.01, reads/s: 68059.08, writes/s: 0.00, response time: 8.13ms (95%)
[  52s] threads: 32, tps: 4855.99, reads/s: 67953.80, writes/s: 0.00, response time: 8.14ms (95%)
[  53s] threads: 32, tps: 4866.02, reads/s: 68176.29, writes/s: 0.00, response time: 8.13ms (95%)
[  54s] threads: 32, tps: 4875.98, reads/s: 68207.72, writes/s: 0.00, response time: 8.11ms (95%)
[  55s] threads: 32, tps: 4865.99, reads/s: 68195.90, writes/s: 0.00, response time: 8.14ms (95%)
[  56s] threads: 32, tps: 4882.02, reads/s: 68297.30, writes/s: 0.00, response time: 8.05ms (95%)
[  57s] threads: 32, tps: 4881.00, reads/s: 68307.02, writes/s: 0.00, response time: 8.11ms (95%)
