sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1024, tps: 6975.07, reads/s: 99784.73, writes/s: 0.00, response time: 69.76ms (95%)
[   2s] threads: 1024, tps: 7846.08, reads/s: 110901.07, writes/s: 0.00, response time: 96.02ms (95%)
[   3s] threads: 1024, tps: 8277.76, reads/s: 118108.54, writes/s: 0.00, response time: 103.97ms (95%)
[   4s] threads: 1024, tps: 7086.13, reads/s: 100465.84, writes/s: 0.00, response time: 252.04ms (95%)
[   5s] threads: 1024, tps: 7509.59, reads/s: 104846.22, writes/s: 0.00, response time: 239.53ms (95%)
[   6s] threads: 1024, tps: 7100.40, reads/s: 99114.55, writes/s: 0.00, response time: 250.01ms (95%)
[   7s] threads: 1024, tps: 7080.04, reads/s: 100022.61, writes/s: 0.00, response time: 270.40ms (95%)
[   8s] threads: 1024, tps: 7587.84, reads/s: 106657.79, writes/s: 0.00, response time: 242.93ms (95%)
[   9s] threads: 1024, tps: 8011.26, reads/s: 112578.58, writes/s: 0.00, response time: 234.28ms (95%)
[  10s] threads: 1024, tps: 8457.96, reads/s: 118541.46, writes/s: 0.00, response time: 242.20ms (95%)
[  11s] threads: 1024, tps: 6819.81, reads/s: 94564.39, writes/s: 0.00, response time: 437.97ms (95%)
[  12s] threads: 1024, tps: 8745.28, reads/s: 123008.93, writes/s: 0.00, response time: 221.33ms (95%)
[  13s] threads: 1024, tps: 8583.85, reads/s: 120630.93, writes/s: 0.00, response time: 229.56ms (95%)
[  14s] threads: 1024, tps: 9073.11, reads/s: 126268.46, writes/s: 0.00, response time: 220.87ms (95%)
[  15s] threads: 1024, tps: 8605.99, reads/s: 121980.86, writes/s: 0.00, response time: 254.46ms (95%)
[  16s] threads: 1024, tps: 8402.92, reads/s: 117854.87, writes/s: 0.00, response time: 256.68ms (95%)
[  17s] threads: 1024, tps: 8497.95, reads/s: 119264.31, writes/s: 0.00, response time: 257.22ms (95%)
[  18s] threads: 1024, tps: 8125.00, reads/s: 114078.01, writes/s: 0.00, response time: 262.59ms (95%)
[  19s] threads: 1024, tps: 8167.88, reads/s: 114249.25, writes/s: 0.00, response time: 283.16ms (95%)
[  20s] threads: 1024, tps: 8963.24, reads/s: 125102.29, writes/s: 0.00, response time: 235.13ms (95%)
