sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 4, tps: 456.33, reads/s: 6423.66, writes/s: 0.00, response time: 13.00ms (95%)
[   2s] threads: 4, tps: 396.04, reads/s: 5550.56, writes/s: 0.00, response time: 20.17ms (95%)
[   3s] threads: 4, tps: 616.94, reads/s: 8621.13, writes/s: 0.00, response time: 7.63ms (95%)
[   4s] threads: 4, tps: 647.99, reads/s: 9075.85, writes/s: 0.00, response time: 7.36ms (95%)
[   5s] threads: 4, tps: 664.02, reads/s: 9313.21, writes/s: 0.00, response time: 7.39ms (95%)
[   6s] threads: 4, tps: 676.07, reads/s: 9463.92, writes/s: 0.00, response time: 7.25ms (95%)
[   7s] threads: 4, tps: 702.00, reads/s: 9806.96, writes/s: 0.00, response time: 6.90ms (95%)
[   8s] threads: 4, tps: 713.00, reads/s: 9977.04, writes/s: 0.00, response time: 6.92ms (95%)
[   9s] threads: 4, tps: 713.97, reads/s: 10025.53, writes/s: 0.00, response time: 6.70ms (95%)
[  10s] threads: 4, tps: 732.03, reads/s: 10233.40, writes/s: 0.00, response time: 6.63ms (95%)
[  11s] threads: 4, tps: 732.00, reads/s: 10237.07, writes/s: 0.00, response time: 6.68ms (95%)
[  12s] threads: 4, tps: 745.00, reads/s: 10440.03, writes/s: 0.00, response time: 6.53ms (95%)
[  13s] threads: 4, tps: 748.99, reads/s: 10472.91, writes/s: 0.00, response time: 6.46ms (95%)
[  14s] threads: 4, tps: 752.01, reads/s: 10534.09, writes/s: 0.00, response time: 6.48ms (95%)
[  15s] threads: 4, tps: 606.95, reads/s: 8502.36, writes/s: 0.00, response time: 14.26ms (95%)
[  16s] threads: 4, tps: 634.04, reads/s: 8847.54, writes/s: 0.00, response time: 13.29ms (95%)
[  17s] threads: 4, tps: 764.00, reads/s: 10733.03, writes/s: 0.00, response time: 6.35ms (95%)
[  18s] threads: 4, tps: 774.97, reads/s: 10847.65, writes/s: 0.00, response time: 6.25ms (95%)
[  19s] threads: 4, tps: 785.01, reads/s: 10966.13, writes/s: 0.00, response time: 6.27ms (95%)
[  20s] threads: 4, tps: 780.02, reads/s: 10947.34, writes/s: 0.00, response time: 6.15ms (95%)
[  21s] threads: 4, tps: 776.98, reads/s: 10871.71, writes/s: 0.00, response time: 6.22ms (95%)
[  22s] threads: 4, tps: 788.02, reads/s: 11024.31, writes/s: 0.00, response time: 6.21ms (95%)
[  23s] threads: 4, tps: 788.91, reads/s: 11048.79, writes/s: 0.00, response time: 6.18ms (95%)
[  24s] threads: 4, tps: 786.08, reads/s: 11023.19, writes/s: 0.00, response time: 6.19ms (95%)
[  25s] threads: 4, tps: 800.98, reads/s: 11188.71, writes/s: 0.00, response time: 6.11ms (95%)
[  26s] threads: 4, tps: 788.01, reads/s: 11057.11, writes/s: 0.00, response time: 6.22ms (95%)
[  27s] threads: 4, tps: 796.01, reads/s: 11134.16, writes/s: 0.00, response time: 6.06ms (95%)
[  28s] threads: 4, tps: 803.97, reads/s: 11250.54, writes/s: 0.00, response time: 6.06ms (95%)
[  29s] threads: 4, tps: 802.03, reads/s: 11225.45, writes/s: 0.00, response time: 6.07ms (95%)
[  30s] threads: 4, tps: 803.99, reads/s: 11252.91, writes/s: 0.00, response time: 6.02ms (95%)
[  31s] threads: 4, tps: 806.00, reads/s: 11286.06, writes/s: 0.00, response time: 6.02ms (95%)
[  32s] threads: 4, tps: 849.00, reads/s: 11882.06, writes/s: 0.00, response time: 5.62ms (95%)
[  33s] threads: 4, tps: 847.00, reads/s: 11871.95, writes/s: 0.00, response time: 5.77ms (95%)
[  34s] threads: 4, tps: 856.00, reads/s: 11971.01, writes/s: 0.00, response time: 5.70ms (95%)
[  35s] threads: 4, tps: 683.95, reads/s: 9580.33, writes/s: 0.00, response time: 5.59ms (95%)
[  36s] threads: 4, tps: 830.06, reads/s: 11622.81, writes/s: 0.00, response time: 5.92ms (95%)
[  37s] threads: 4, tps: 867.00, reads/s: 12150.00, writes/s: 0.00, response time: 5.62ms (95%)
[  38s] threads: 4, tps: 865.00, reads/s: 12102.04, writes/s: 0.00, response time: 5.63ms (95%)
[  39s] threads: 4, tps: 862.00, reads/s: 12060.99, writes/s: 0.00, response time: 5.64ms (95%)
[  40s] threads: 4, tps: 869.00, reads/s: 12159.01, writes/s: 0.00, response time: 5.59ms (95%)
[  41s] threads: 4, tps: 864.90, reads/s: 12130.66, writes/s: 0.00, response time: 5.60ms (95%)
[  42s] threads: 4, tps: 880.07, reads/s: 12318.96, writes/s: 0.00, response time: 5.47ms (95%)
[  43s] threads: 4, tps: 870.02, reads/s: 12168.32, writes/s: 0.00, response time: 5.61ms (95%)
[  44s] threads: 4, tps: 875.00, reads/s: 12254.07, writes/s: 0.00, response time: 5.59ms (95%)
[  45s] threads: 4, tps: 874.99, reads/s: 12244.81, writes/s: 0.00, response time: 5.55ms (95%)
[  46s] threads: 4, tps: 875.01, reads/s: 12265.14, writes/s: 0.00, response time: 5.59ms (95%)
[  47s] threads: 4, tps: 881.00, reads/s: 12319.98, writes/s: 0.00, response time: 5.46ms (95%)
[  48s] threads: 4, tps: 886.00, reads/s: 12394.03, writes/s: 0.00, response time: 5.56ms (95%)
[  49s] threads: 4, tps: 891.00, reads/s: 12486.00, writes/s: 0.00, response time: 5.43ms (95%)
[  50s] threads: 4, tps: 878.00, reads/s: 12297.98, writes/s: 0.00, response time: 5.52ms (95%)
[  51s] threads: 4, tps: 881.99, reads/s: 12328.82, writes/s: 0.00, response time: 5.56ms (95%)
[  52s] threads: 4, tps: 883.02, reads/s: 12366.22, writes/s: 0.00, response time: 5.54ms (95%)
[  53s] threads: 4, tps: 880.00, reads/s: 12337.95, writes/s: 0.00, response time: 5.56ms (95%)
[  54s] threads: 4, tps: 895.98, reads/s: 12542.66, writes/s: 0.00, response time: 5.37ms (95%)
[  55s] threads: 4, tps: 897.03, reads/s: 12555.37, writes/s: 0.00, response time: 5.41ms (95%)
[  56s] threads: 4, tps: 890.00, reads/s: 12466.02, writes/s: 0.00, response time: 5.43ms (95%)
[  57s] threads: 4, tps: 889.97, reads/s: 12446.59, writes/s: 0.00, response time: 5.54ms (95%)
[  58s] threads: 4, tps: 883.03, reads/s: 12368.42, writes/s: 0.00, response time: 5.46ms (95%)
[  59s] threads: 4, tps: 892.01, reads/s: 12477.12, writes/s: 0.00, response time: 5.46ms (95%)
[  60s] threads: 4, tps: 903.96, reads/s: 12660.48, writes/s: 0.00, response time: 5.38ms (95%)
[  61s] threads: 4, tps: 896.03, reads/s: 12543.40, writes/s: 0.00, response time: 5.46ms (95%)
[  62s] threads: 4, tps: 897.97, reads/s: 12585.54, writes/s: 0.00, response time: 5.44ms (95%)
[  63s] threads: 4, tps: 903.97, reads/s: 12621.52, writes/s: 0.00, response time: 5.40ms (95%)
[  64s] threads: 4, tps: 896.05, reads/s: 12570.65, writes/s: 0.00, response time: 5.43ms (95%)
[  65s] threads: 4, tps: 890.97, reads/s: 12474.63, writes/s: 0.00, response time: 5.50ms (95%)
[  66s] threads: 4, tps: 911.03, reads/s: 12753.40, writes/s: 0.00, response time: 5.37ms (95%)
[  67s] threads: 4, tps: 904.01, reads/s: 12642.19, writes/s: 0.00, response time: 5.41ms (95%)
[  68s] threads: 4, tps: 898.00, reads/s: 12598.07, writes/s: 0.00, response time: 5.49ms (95%)
[  69s] threads: 4, tps: 907.98, reads/s: 12687.66, writes/s: 0.00, response time: 5.42ms (95%)
[  70s] threads: 4, tps: 746.98, reads/s: 10472.77, writes/s: 0.00, response time: 11.32ms (95%)
[  71s] threads: 4, tps: 703.04, reads/s: 9826.63, writes/s: 0.00, response time: 12.17ms (95%)
[  72s] threads: 4, tps: 551.00, reads/s: 7724.02, writes/s: 0.00, response time: 15.71ms (95%)
[  73s] threads: 4, tps: 913.99, reads/s: 12791.83, writes/s: 0.00, response time: 5.28ms (95%)
[  74s] threads: 4, tps: 915.00, reads/s: 12795.04, writes/s: 0.00, response time: 5.36ms (95%)
[  75s] threads: 4, tps: 909.00, reads/s: 12743.95, writes/s: 0.00, response time: 5.35ms (95%)
[  76s] threads: 4, tps: 901.98, reads/s: 12630.78, writes/s: 0.00, response time: 5.42ms (95%)
[  77s] threads: 4, tps: 907.03, reads/s: 12702.47, writes/s: 0.00, response time: 5.38ms (95%)
[  78s] threads: 4, tps: 921.00, reads/s: 12896.00, writes/s: 0.00, response time: 5.38ms (95%)
[  79s] threads: 4, tps: 916.97, reads/s: 12816.52, writes/s: 0.00, response time: 5.41ms (95%)
[  80s] threads: 4, tps: 926.03, reads/s: 12970.49, writes/s: 0.00, response time: 5.34ms (95%)
[  81s] threads: 4, tps: 918.00, reads/s: 12864.01, writes/s: 0.00, response time: 5.36ms (95%)
[  82s] threads: 4, tps: 921.00, reads/s: 12884.99, writes/s: 0.00, response time: 5.34ms (95%)
[  83s] threads: 4, tps: 922.99, reads/s: 12918.90, writes/s: 0.00, response time: 5.29ms (95%)
[  84s] threads: 4, tps: 923.99, reads/s: 12943.93, writes/s: 0.00, response time: 5.28ms (95%)
[  85s] threads: 4, tps: 931.00, reads/s: 13015.04, writes/s: 0.00, response time: 5.24ms (95%)
[  86s] threads: 4, tps: 924.01, reads/s: 12945.14, writes/s: 0.00, response time: 5.30ms (95%)
[  87s] threads: 4, tps: 926.94, reads/s: 13003.15, writes/s: 0.00, response time: 5.34ms (95%)
[  88s] threads: 4, tps: 930.06, reads/s: 12993.83, writes/s: 0.00, response time: 5.24ms (95%)
[  89s] threads: 4, tps: 916.00, reads/s: 12835.96, writes/s: 0.00, response time: 5.32ms (95%)
[  90s] threads: 4, tps: 928.00, reads/s: 12978.06, writes/s: 0.00, response time: 5.35ms (95%)
[  91s] threads: 4, tps: 932.97, reads/s: 13072.51, writes/s: 0.00, response time: 5.29ms (95%)
[  92s] threads: 4, tps: 931.00, reads/s: 13032.01, writes/s: 0.00, response time: 5.25ms (95%)
[  93s] threads: 4, tps: 919.02, reads/s: 12869.22, writes/s: 0.00, response time: 5.29ms (95%)
[  94s] threads: 4, tps: 582.01, reads/s: 8162.14, writes/s: 0.00, response time: 14.59ms (95%)
[  95s] threads: 4, tps: 928.97, reads/s: 13004.58, writes/s: 0.00, response time: 5.32ms (95%)
[  96s] threads: 4, tps: 937.03, reads/s: 13108.43, writes/s: 0.00, response time: 5.17ms (95%)
[  97s] threads: 4, tps: 927.95, reads/s: 12977.25, writes/s: 0.00, response time: 5.24ms (95%)
[  98s] threads: 4, tps: 940.05, reads/s: 13161.70, writes/s: 0.00, response time: 5.23ms (95%)
[  99s] threads: 4, tps: 932.96, reads/s: 13078.42, writes/s: 0.00, response time: 5.27ms (95%)
[ 100s] threads: 4, tps: 940.05, reads/s: 13162.64, writes/s: 0.00, response time: 5.24ms (95%)
[ 101s] threads: 4, tps: 942.97, reads/s: 13187.55, writes/s: 0.00, response time: 5.13ms (95%)
[ 102s] threads: 4, tps: 935.00, reads/s: 13098.05, writes/s: 0.00, response time: 5.24ms (95%)
[ 103s] threads: 4, tps: 944.98, reads/s: 13230.71, writes/s: 0.00, response time: 5.23ms (95%)
[ 104s] threads: 4, tps: 944.05, reads/s: 13217.66, writes/s: 0.00, response time: 5.13ms (95%)
[ 105s] threads: 4, tps: 947.00, reads/s: 13260.98, writes/s: 0.00, response time: 5.18ms (95%)
[ 106s] threads: 4, tps: 925.00, reads/s: 12939.99, writes/s: 0.00, response time: 5.35ms (95%)
[ 107s] threads: 4, tps: 929.00, reads/s: 13015.98, writes/s: 0.00, response time: 5.27ms (95%)
[ 108s] threads: 4, tps: 944.99, reads/s: 13233.87, writes/s: 0.00, response time: 5.17ms (95%)
[ 109s] threads: 4, tps: 943.98, reads/s: 13192.75, writes/s: 0.00, response time: 5.15ms (95%)
[ 110s] threads: 4, tps: 962.02, reads/s: 13484.23, writes/s: 0.00, response time: 5.10ms (95%)
[ 111s] threads: 4, tps: 954.00, reads/s: 13349.05, writes/s: 0.00, response time: 5.11ms (95%)
[ 112s] threads: 4, tps: 951.00, reads/s: 13297.01, writes/s: 0.00, response time: 5.13ms (95%)
[ 113s] threads: 4, tps: 948.02, reads/s: 13297.24, writes/s: 0.00, response time: 5.11ms (95%)
[ 114s] threads: 4, tps: 958.98, reads/s: 13430.67, writes/s: 0.00, response time: 5.15ms (95%)
[ 115s] threads: 4, tps: 948.01, reads/s: 13249.19, writes/s: 0.00, response time: 5.18ms (95%)
[ 116s] threads: 4, tps: 946.00, reads/s: 13253.99, writes/s: 0.00, response time: 5.15ms (95%)
[ 117s] threads: 4, tps: 956.98, reads/s: 13406.68, writes/s: 0.00, response time: 5.17ms (95%)
[ 118s] threads: 4, tps: 962.02, reads/s: 13456.34, writes/s: 0.00, response time: 5.06ms (95%)
[ 119s] threads: 4, tps: 948.00, reads/s: 13272.96, writes/s: 0.00, response time: 5.16ms (95%)
[ 120s] threads: 4, tps: 961.00, reads/s: 13451.93, writes/s: 0.00, response time: 5.06ms (95%)
[ 121s] threads: 4, tps: 956.01, reads/s: 13390.09, writes/s: 0.00, response time: 5.14ms (95%)
[ 122s] threads: 4, tps: 947.00, reads/s: 13251.01, writes/s: 0.00, response time: 5.19ms (95%)
[ 123s] threads: 4, tps: 944.00, reads/s: 13226.01, writes/s: 0.00, response time: 5.19ms (95%)
[ 124s] threads: 4, tps: 946.00, reads/s: 13231.01, writes/s: 0.00, response time: 5.17ms (95%)
[ 125s] threads: 4, tps: 804.99, reads/s: 11292.82, writes/s: 0.00, response time: 10.23ms (95%)
[ 126s] threads: 4, tps: 737.01, reads/s: 10305.08, writes/s: 0.00, response time: 12.21ms (95%)
[ 127s] threads: 4, tps: 951.99, reads/s: 13337.81, writes/s: 0.00, response time: 5.15ms (95%)
[ 128s] threads: 4, tps: 949.00, reads/s: 13278.99, writes/s: 0.00, response time: 5.19ms (95%)
[ 129s] threads: 4, tps: 958.01, reads/s: 13418.18, writes/s: 0.00, response time: 5.19ms (95%)
[ 130s] threads: 4, tps: 968.00, reads/s: 13540.02, writes/s: 0.00, response time: 5.15ms (95%)
[ 131s] threads: 4, tps: 959.97, reads/s: 13437.53, writes/s: 0.00, response time: 5.12ms (95%)
[ 132s] threads: 4, tps: 964.03, reads/s: 13500.48, writes/s: 0.00, response time: 5.07ms (95%)
[ 133s] threads: 4, tps: 967.97, reads/s: 13556.56, writes/s: 0.00, response time: 5.03ms (95%)
[ 134s] threads: 4, tps: 975.03, reads/s: 13616.43, writes/s: 0.00, response time: 5.04ms (95%)
[ 135s] threads: 4, tps: 962.97, reads/s: 13516.56, writes/s: 0.00, response time: 5.09ms (95%)
[ 136s] threads: 4, tps: 967.03, reads/s: 13537.45, writes/s: 0.00, response time: 5.08ms (95%)
[ 137s] threads: 4, tps: 957.00, reads/s: 13383.95, writes/s: 0.00, response time: 5.15ms (95%)
[ 138s] threads: 4, tps: 988.00, reads/s: 13846.03, writes/s: 0.00, response time: 4.98ms (95%)
[ 139s] threads: 4, tps: 965.95, reads/s: 13520.27, writes/s: 0.00, response time: 5.03ms (95%)
[ 140s] threads: 4, tps: 970.05, reads/s: 13576.74, writes/s: 0.00, response time: 5.01ms (95%)
[ 141s] threads: 4, tps: 959.00, reads/s: 13437.98, writes/s: 0.00, response time: 5.19ms (95%)
[ 142s] threads: 4, tps: 974.00, reads/s: 13637.02, writes/s: 0.00, response time: 4.98ms (95%)
[ 143s] threads: 4, tps: 977.97, reads/s: 13686.58, writes/s: 0.00, response time: 5.03ms (95%)
[ 144s] threads: 4, tps: 977.03, reads/s: 13670.41, writes/s: 0.00, response time: 5.02ms (95%)
[ 145s] threads: 4, tps: 975.87, reads/s: 13658.24, writes/s: 0.00, response time: 5.04ms (95%)
[ 146s] threads: 4, tps: 978.12, reads/s: 13707.72, writes/s: 0.00, response time: 4.99ms (95%)
[ 147s] threads: 4, tps: 961.95, reads/s: 13455.30, writes/s: 0.00, response time: 5.08ms (95%)
[ 148s] threads: 4, tps: 977.05, reads/s: 13687.76, writes/s: 0.00, response time: 5.04ms (95%)
[ 149s] threads: 4, tps: 972.95, reads/s: 13608.24, writes/s: 0.00, response time: 5.09ms (95%)
[ 150s] threads: 4, tps: 980.03, reads/s: 13742.36, writes/s: 0.00, response time: 4.95ms (95%)
[ 151s] threads: 4, tps: 978.02, reads/s: 13674.34, writes/s: 0.00, response time: 4.99ms (95%)
[ 152s] threads: 4, tps: 985.00, reads/s: 13798.06, writes/s: 0.00, response time: 4.99ms (95%)
[ 153s] threads: 4, tps: 980.97, reads/s: 13736.61, writes/s: 0.00, response time: 5.01ms (95%)
[ 154s] threads: 4, tps: 983.03, reads/s: 13764.40, writes/s: 0.00, response time: 5.00ms (95%)
[ 155s] threads: 4, tps: 983.96, reads/s: 13760.45, writes/s: 0.00, response time: 4.99ms (95%)
[ 156s] threads: 4, tps: 999.04, reads/s: 13991.51, writes/s: 0.00, response time: 4.92ms (95%)
[ 157s] threads: 4, tps: 969.97, reads/s: 13585.63, writes/s: 0.00, response time: 5.10ms (95%)
[ 158s] threads: 4, tps: 989.03, reads/s: 13832.41, writes/s: 0.00, response time: 5.03ms (95%)
[ 159s] threads: 4, tps: 995.00, reads/s: 13920.98, writes/s: 0.00, response time: 4.97ms (95%)
[ 160s] threads: 4, tps: 983.00, reads/s: 13785.03, writes/s: 0.00, response time: 4.96ms (95%)
[ 161s] threads: 4, tps: 992.97, reads/s: 13903.54, writes/s: 0.00, response time: 4.92ms (95%)
[ 162s] threads: 4, tps: 995.03, reads/s: 13934.48, writes/s: 0.00, response time: 4.93ms (95%)
[ 163s] threads: 4, tps: 982.00, reads/s: 13740.96, writes/s: 0.00, response time: 4.98ms (95%)
[ 164s] threads: 4, tps: 993.00, reads/s: 13892.97, writes/s: 0.00, response time: 4.88ms (95%)
[ 165s] threads: 4, tps: 976.96, reads/s: 13690.51, writes/s: 0.00, response time: 5.06ms (95%)
[ 166s] threads: 4, tps: 989.03, reads/s: 13835.47, writes/s: 0.00, response time: 4.97ms (95%)
[ 167s] threads: 4, tps: 997.00, reads/s: 13953.04, writes/s: 0.00, response time: 4.95ms (95%)
[ 168s] threads: 4, tps: 990.99, reads/s: 13889.91, writes/s: 0.00, response time: 4.99ms (95%)
[ 169s] threads: 4, tps: 984.95, reads/s: 13791.25, writes/s: 0.00, response time: 5.01ms (95%)
[ 170s] threads: 4, tps: 1002.07, reads/s: 14026.92, writes/s: 0.00, response time: 4.98ms (95%)
[ 171s] threads: 4, tps: 989.98, reads/s: 13858.68, writes/s: 0.00, response time: 5.02ms (95%)
[ 172s] threads: 4, tps: 1011.02, reads/s: 14162.30, writes/s: 0.00, response time: 4.87ms (95%)
[ 173s] threads: 4, tps: 1010.00, reads/s: 14119.01, writes/s: 0.00, response time: 4.89ms (95%)
[ 174s] threads: 4, tps: 1010.00, reads/s: 14142.00, writes/s: 0.00, response time: 4.87ms (95%)
[ 175s] threads: 4, tps: 998.97, reads/s: 13996.52, writes/s: 0.00, response time: 4.88ms (95%)
[ 176s] threads: 4, tps: 992.00, reads/s: 13897.01, writes/s: 0.00, response time: 4.96ms (95%)
[ 177s] threads: 4, tps: 989.99, reads/s: 13835.81, writes/s: 0.00, response time: 5.06ms (95%)
[ 178s] threads: 4, tps: 1001.04, reads/s: 14022.55, writes/s: 0.00, response time: 4.89ms (95%)
[ 179s] threads: 4, tps: 997.99, reads/s: 13970.86, writes/s: 0.00, response time: 4.97ms (95%)
[ 180s] threads: 4, tps: 887.98, reads/s: 12448.79, writes/s: 0.00, response time: 7.93ms (95%)
[ 181s] threads: 4, tps: 763.99, reads/s: 10667.81, writes/s: 0.00, response time: 11.37ms (95%)
[ 182s] threads: 4, tps: 1022.06, reads/s: 14328.83, writes/s: 0.00, response time: 4.82ms (95%)
[ 183s] threads: 4, tps: 1006.94, reads/s: 14103.12, writes/s: 0.00, response time: 4.93ms (95%)
[ 184s] threads: 4, tps: 1001.01, reads/s: 14000.09, writes/s: 0.00, response time: 4.91ms (95%)
[ 185s] threads: 4, tps: 997.02, reads/s: 13961.31, writes/s: 0.00, response time: 4.90ms (95%)
[ 186s] threads: 4, tps: 600.02, reads/s: 8400.25, writes/s: 0.00, response time: 14.58ms (95%)
[ 187s] threads: 4, tps: 1001.98, reads/s: 14022.77, writes/s: 0.00, response time: 4.88ms (95%)
[ 188s] threads: 4, tps: 1003.02, reads/s: 14048.24, writes/s: 0.00, response time: 4.96ms (95%)
[ 189s] threads: 4, tps: 1000.97, reads/s: 14000.60, writes/s: 0.00, response time: 4.90ms (95%)
[ 190s] threads: 4, tps: 1003.03, reads/s: 14051.40, writes/s: 0.00, response time: 4.92ms (95%)
[ 191s] threads: 4, tps: 1001.94, reads/s: 14036.20, writes/s: 0.00, response time: 4.88ms (95%)
[ 192s] threads: 4, tps: 1011.06, reads/s: 14152.80, writes/s: 0.00, response time: 4.85ms (95%)
[ 193s] threads: 4, tps: 1012.94, reads/s: 14158.22, writes/s: 0.00, response time: 4.87ms (95%)
[ 194s] threads: 4, tps: 1006.06, reads/s: 14085.79, writes/s: 0.00, response time: 4.85ms (95%)
[ 195s] threads: 4, tps: 1014.98, reads/s: 14216.68, writes/s: 0.00, response time: 4.82ms (95%)
[ 196s] threads: 4, tps: 1010.02, reads/s: 14146.32, writes/s: 0.00, response time: 4.85ms (95%)
[ 197s] threads: 4, tps: 1013.94, reads/s: 14189.11, writes/s: 0.00, response time: 4.85ms (95%)
[ 198s] threads: 4, tps: 1009.06, reads/s: 14139.87, writes/s: 0.00, response time: 4.83ms (95%)
[ 199s] threads: 4, tps: 1010.97, reads/s: 14156.58, writes/s: 0.00, response time: 4.81ms (95%)
[ 200s] threads: 4, tps: 962.03, reads/s: 13463.39, writes/s: 0.00, response time: 5.15ms (95%)
[ 201s] threads: 4, tps: 955.97, reads/s: 13377.56, writes/s: 0.00, response time: 5.23ms (95%)
[ 202s] threads: 4, tps: 958.03, reads/s: 13421.45, writes/s: 0.00, response time: 5.20ms (95%)
[ 203s] threads: 4, tps: 955.98, reads/s: 13370.67, writes/s: 0.00, response time: 5.18ms (95%)
[ 204s] threads: 4, tps: 956.02, reads/s: 13375.34, writes/s: 0.00, response time: 5.26ms (95%)
[ 205s] threads: 4, tps: 983.00, reads/s: 13768.00, writes/s: 0.00, response time: 4.99ms (95%)
[ 206s] threads: 4, tps: 616.98, reads/s: 8649.67, writes/s: 0.00, response time: 14.43ms (95%)
[ 207s] threads: 4, tps: 1022.95, reads/s: 14321.32, writes/s: 0.00, response time: 4.77ms (95%)
[ 208s] threads: 4, tps: 1020.07, reads/s: 14270.97, writes/s: 0.00, response time: 4.81ms (95%)
[ 209s] threads: 4, tps: 1009.02, reads/s: 14137.25, writes/s: 0.00, response time: 4.94ms (95%)
[ 210s] threads: 4, tps: 1019.00, reads/s: 14270.01, writes/s: 0.00, response time: 4.81ms (95%)
[ 211s] threads: 4, tps: 1017.00, reads/s: 14239.96, writes/s: 0.00, response time: 4.85ms (95%)
[ 212s] threads: 4, tps: 1030.00, reads/s: 14411.07, writes/s: 0.00, response time: 4.89ms (95%)
[ 213s] threads: 4, tps: 1025.96, reads/s: 14357.49, writes/s: 0.00, response time: 4.84ms (95%)
[ 214s] threads: 4, tps: 1019.03, reads/s: 14271.41, writes/s: 0.00, response time: 4.79ms (95%)
[ 215s] threads: 4, tps: 1020.97, reads/s: 14291.59, writes/s: 0.00, response time: 4.85ms (95%)
[ 216s] threads: 4, tps: 847.01, reads/s: 11857.12, writes/s: 0.00, response time: 4.79ms (95%)
[ 217s] threads: 4, tps: 1018.99, reads/s: 14273.85, writes/s: 0.00, response time: 4.85ms (95%)
[ 218s] threads: 4, tps: 1029.03, reads/s: 14415.47, writes/s: 0.00, response time: 4.79ms (95%)
[ 219s] threads: 4, tps: 1028.94, reads/s: 14389.14, writes/s: 0.00, response time: 4.78ms (95%)
[ 220s] threads: 4, tps: 1032.06, reads/s: 14454.88, writes/s: 0.00, response time: 4.78ms (95%)
[ 221s] threads: 4, tps: 1034.00, reads/s: 14454.98, writes/s: 0.00, response time: 4.82ms (95%)
[ 222s] threads: 4, tps: 1044.96, reads/s: 14666.42, writes/s: 0.00, response time: 4.65ms (95%)
[ 223s] threads: 4, tps: 1032.04, reads/s: 14430.58, writes/s: 0.00, response time: 4.80ms (95%)
[ 224s] threads: 4, tps: 1024.00, reads/s: 14349.99, writes/s: 0.00, response time: 4.82ms (95%)
[ 225s] threads: 4, tps: 1023.93, reads/s: 14337.01, writes/s: 0.00, response time: 4.77ms (95%)
[ 226s] threads: 4, tps: 1028.07, reads/s: 14379.01, writes/s: 0.00, response time: 4.78ms (95%)
[ 227s] threads: 4, tps: 1026.97, reads/s: 14386.54, writes/s: 0.00, response time: 4.75ms (95%)
[ 228s] threads: 4, tps: 1024.03, reads/s: 14327.41, writes/s: 0.00, response time: 4.82ms (95%)
[ 229s] threads: 4, tps: 1034.15, reads/s: 14488.18, writes/s: 0.00, response time: 4.79ms (95%)
[ 230s] threads: 4, tps: 1028.83, reads/s: 14400.69, writes/s: 0.00, response time: 4.76ms (95%)
[ 231s] threads: 4, tps: 1028.95, reads/s: 14397.25, writes/s: 0.00, response time: 4.78ms (95%)
[ 232s] threads: 4, tps: 1031.07, reads/s: 14436.97, writes/s: 0.00, response time: 4.80ms (95%)
[ 233s] threads: 4, tps: 1026.00, reads/s: 14356.01, writes/s: 0.00, response time: 4.77ms (95%)
[ 234s] threads: 4, tps: 1036.00, reads/s: 14496.06, writes/s: 0.00, response time: 4.67ms (95%)
[ 235s] threads: 4, tps: 947.92, reads/s: 13265.87, writes/s: 0.00, response time: 5.84ms (95%)
[ 236s] threads: 4, tps: 775.06, reads/s: 10868.88, writes/s: 0.00, response time: 11.09ms (95%)
[ 237s] threads: 4, tps: 1039.92, reads/s: 14537.82, writes/s: 0.00, response time: 4.72ms (95%)
[ 238s] threads: 4, tps: 1031.09, reads/s: 14446.24, writes/s: 0.00, response time: 4.73ms (95%)
[ 239s] threads: 4, tps: 1041.94, reads/s: 14584.12, writes/s: 0.00, response time: 4.67ms (95%)
[ 240s] threads: 4, tps: 1039.06, reads/s: 14560.88, writes/s: 0.00, response time: 4.70ms (95%)
[ 241s] threads: 4, tps: 1033.97, reads/s: 14476.57, writes/s: 0.00, response time: 4.74ms (95%)
